,（停止）能繁母猪:中国:农业部:存栏量:当月值,中国:36大中城市日用工业消费品平均价格:白酒(500ml左右52度高档),中国:36大中城市日用工业消费品平均价格:白酒(500ml左右52度中低档),中国:36大中城市日用工业消费品平均价格:啤酒(罐装350ml左右),中国:36大中城市日用工业消费品平均价格:啤酒(瓶装630ml左右),中国:36大中城市:日用工业消费品平均价格:葡萄酒:干红(750ml,12度,高档),中国:36个大中城市:日用工业消费品平均价格:葡萄酒(干红750ml12度中低档),中国:36个大中城市:日用工业消费品平均价格:进口烟,中国:36个大中城市:日用工业消费品平均价格:国产烟(高档),中国:36个大中城市:日用工业消费品平均价格:国产烟(中低档),中国:36大中城市:平均价格:日用工业消费品:女士内衣(纯棉普通),中国:36个大中城市:日用工业消费品平均价格:男士衬衫(纯棉),中国:36个大中城市:日用工业消费品平均价格:洗发液(瓶装750ml),中国:36个大中城市:日用工业消费品平均价格:女士毛衣(纯羊毛),中国:36个大中城市:日用工业消费品平均价格:牙膏(普通120克左右),中国:36个大中城市:日用工业消费品平均价格:沐浴液(瓶装750ml),36大中城市日用工业消费品平均价格:香皂:普通125克,36大中城市日用工业消费品平均价格:洗洁精:瓶装500克,36大中城市日用工业消费品平均价格:洗衣粉:袋装1kg,36大中城市日用工业消费品平均价格:男士内衣:纯棉普通,36大中城市日用工业消费品平均价格:男士毛衣:纯羊毛,中国:民航客运量:当月值,中国:民航客运量:国际航线:当月值,中国:民航客运量:国内航线:当月值,中国:铁路货运量:当月值,中国:铁路货运量:累计同比,中国:铁路货运量:当月同比,中国:铁路客运量:当月值
2022-07-31,2981.08,1274.5,185.06,4.02,4.86,297.0,79.75,19.36,58.85,17.36,222.83,448.45,58.73,817.29,11.2,35.56,5.7,5.26,14.45,208.37,945.59,,,0.339955,14.6,3384.9,4.100532,6.094118,12.289288,2.261506
2022-08-31,2998.96,1276.58,185.23,4.02,4.95,297.5,79.45,19.37,58.85,17.48,223.95,439.1,58.61,784.96,11.3,35.55,5.74,5.24,14.53,203.23,911.1,,,0.323034,17.8,3212.5000000000005,4.067954,5.698141,2.989522,2.173232
2022-09-30,3025.96,1277.28,184.88,4.05,4.92,296.97,79.28,19.4,58.89,17.54,223.18,439.59,58.97,786.14,11.37,35.53,5.81,5.24,14.57,202.07,911.45,,,0.200987,21.2,1988.7,4.124302,6.066974,9.088141,1.475198
2022-10-31,3038.06,1277.28,184.63,4.06,4.95,298.49,77.5,19.44,58.99,17.58,223.56,441.76,60.07,786.42,11.35,35.82,5.83,5.31,14.31,202.22,911.45,,,0.159245,20.1,1572.3,4.153311,5.77905,3.290833,1.189556
2022-11-30,3044.14,1285.09,182.57,4.11,4.94,296.62,80.28,19.56,58.99,17.61,224.27,438.33,60.45,779.29,11.38,35.78,5.87,5.33,14.46,201.78,901.43,,,0.125714,23.2,1234.0,4.119588,5.055047,-1.646466,0.737442
2022-12-31,3062.4,1283.19,178.52,4.12,4.94,296.44,80.51,19.63,58.99,17.6,225.47,439.79,60.4,779.56,11.46,35.97,5.96,5.4,14.78,202.81,901.15,,,0.187139,30.8,1840.6,4.201874,4.51519,-0.951609,0.991348
2023-01-31,3047.09,1269.39,177.69,4.12,4.95,295.01,80.76,19.64,58.98,17.61,224.74,435.93,60.35,779.71,11.56,35.96,5.94,5.39,14.86,201.54,899.42,,,0.39775,44.2,3933.2,4.088803,-0.939575,-0.939575,2.360934
2023-02-28,3028.81,1272.44,176.83,4.13,4.97,293.51,81.16,19.63,58.97,17.61,228.99,434.75,60.77,791.73,11.47,35.77,5.88,5.4,14.83,206.16,908.61,,,0.432,70.6,4249.5,3.921793,2.724323,6.844411,2.729729
2023-03-31,3002.30878425052,1271.59,180.52,4.14,4.97,294.85,80.68,19.62,59.15,17.71,229.73,435.25,60.72,787.29,11.49,36.25,6.01,5.46,15.15,208.0,882.61,,,0.456932,109.4,4461.1,4.41541,3.113795,3.827979,2.803762
2023-04-30,2987.66337554686,1262.09,179.43,4.14,4.96,290.01,81.98,19.59,59.03,17.75,228.95,439.91,60.95,791.31,11.58,36.41,6.03,5.74,15.44,207.66,904.37,,,0.5,162.20000000000002,4865.3,4.1,1.88,-1.68,3.29
2023-05-31,2969.5309647709,1274.22,179.89,4.16,4.96,288.34,81.86,19.64,59.03,17.8,227.82,440.57,61.04,811.97,11.57,36.17,5.98,5.8,15.39,207.43,902.59,,,0.516984,197.6,4972.3,4.171854,1.040085,-2.153758,3.255972
2023-06-30,2996.03218052038,1269.03,179.04,4.11,5.01,288.56,81.32,19.7,59.03,17.79,229.45,439.45,60.72,812.05,11.63,35.83,5.96,5.76,15.43,209.12,902.37,,,0.531164,252.9,5058.7,3.979,0.5,-2.4,3.2682
2023-07-31,2978.59717015888,1262.57,177.93,4.1,4.93,288.35,81.36,19.76,59.15,17.8,227.53,439.91,59.89,811.69,11.62,35.7,5.94,5.77,16.22,207.26,903.29,,,0.624293,335.3,5907.5,4.148855,0.574535,1.178461,4.091851
2023-08-31,2957.67515772508,1251.32,178.35,4.06,4.96,286.67,80.92,19.77,59.16,17.77,229.28,438.75,60.59,811.05,11.66,35.36,5.92,5.76,15.83,209.34,903.68,,,0.639645,364.5,6031.900000000001,4.10669,0.621472,0.952218,4.285966
2023-09-30,2956.97775731062,1245.56,176.58,4.05,5.0,283.27,79.84,19.79,59.14,17.76,228.46,439.11,59.22,811.28,11.71,35.65,5.93,5.73,15.79,206.86,904.7,,,0.534895,324.3,5024.599999999999,4.13083,0.569642,0.158287,3.24989
2023-10-31,2936.05574487681,1243.31,176.79,4.07,4.98,281.6,80.09,19.84,59.18,17.73,230.3,437.82,59.5,805.83,11.76,35.76,5.91,5.67,15.95,207.6,897.84,,,0.560524,329.6,5275.6,4.365591,1.029575,5.111103,3.516863
2023-11-30,2899.79092332489,1242.09,177.65,4.09,4.98,280.97,80.73,19.88,59.09,17.74,232.96,439.03,59.51,792.55,11.81,35.43,5.88,5.7,15.61,208.57,889.5,,,0.489911,315.9,4583.2,4.27654,1.283368,3.809885,2.797398
2023-12-31,2888.63251669353,1236.37,179.42,4.11,5.05,283.93,80.3,19.98,58.93,17.77,232.5,441.15,58.94,797.37,11.8,35.54,5.89,5.72,15.75,206.77,893.99,,,0.505918,398.8,4660.400000000001,4.355818,1.486112,3.663684,2.898583
2024-01-31,2836.32748560903,1230.69,179.15,4.13,5.08,287.3,79.74,20.14,58.89,17.89,233.64,440.4,58.78,796.66,11.69,35.56,5.89,5.76,16.48,206.81,896.66,,,0.57318,437.1,5294.8,4.3486,6.35,6.35,3.2876
2024-02-29,2818.89247524753,1227.01,176.84,4.15,5.13,284.38,80.68,20.27,58.58,18.09,235.0,441.66,58.88,798.54,11.71,35.35,5.93,5.75,16.69,208.05,904.47,,,0.6248,489.3,5758.599999999999,3.7101,0.601108,-5.4,3.6437
2024-03-31,2784.02245452452,1220.85,178.01,4.15,5.17,286.45,80.63,20.33,58.57,18.12,235.72,442.48,59.39,798.75,11.68,35.29,5.92,5.76,16.33,209.34,902.72,,,0.574303,485.6,5257.400000000001,4.350183,-0.137413,-1.477265,3.211988
2024-04-30,2779.83805203776,,,,,,,,,,,,,,,,,,,,,,,0.559485,509.6,5085.3,4.0759,-0.3,-0.7,3.6015
2024-05-31,2786.81205618236,,,,,,,,,,,,,,,,,,,,,,,0.59,510.0,5377.099999999999,4.37,0.7,4.7,3.61
2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,0.59,535.7,5330.8,4.28,1.8,7.5,3.6
2024-07-31,,,,,,,,,,,,,,,,,,,,,,,,0.691363,613.0,6300.599999999999,4.322933,2.161702,4.195802,4.266971
