,中国:产成品存货:化学原料和化学制品制造业,中国:产成品存货:化学纤维制造业,中国:产成品存货:橡胶和塑料制品业,中国涤纶长丝月度产量,中国涤纶短纤月度产量,产量:乙烯:当月值,产量:低密度聚乙烯树酯(LDPE):当月值,产量:石脑油:当月值,产量:线型低密度聚乙烯树酯(LLDPE):当月值,产量:高密度聚乙烯树酯(HDPE):当月值,中国:产量:精炼铜(铜):当月值,中国:产量:铜材:当月值,中国:产量:铜材:当月同比,中国:产量:铜材:累计同比,ICSG:全球精炼铜消费量:当月值,中国:消费量:精炼铜:当月值,中国:产量:原铝(电解铝):当月值,中国:产量:原铝(电解铝):当月同比,中国:产量:原铝(电解铝):累计同比,中国:产量:氧化铝:当月值,中国:产量:氧化铝:当月同比,中国:产量:氧化铝:累计同比,中国:产量:铝材:当月值,中国:产量:铝材:当月同比,中国:产量:铝材:累计同比,全球:产量:氧化铝:当月值,英国:黄金储备:当月值,中国:官方储备资产:黄金(以盎司计算的纯金数量),美国:黄金储备:当月值,中国:限额以上企业商品零售额:金银珠宝类:当月值,中国:限额以上企业商品零售额:金银珠宝类:当月同比,碳酸锂:中国:产量:当月值
2021-08-31,32570000.0,6157000.0,15785000.0,3351.1,598.5,231.0,22.8,3910000.0,82.6,85.6,87.4,190.2,-0.9,1.7,2044.0,1097.0,315.5,0.4,8.3,646.6,-1.1,8.7,509.7,4.6,13.8,11671.0,310.29,6264.0,8133.46,250.2,7.4,20067.0
2021-09-30,32381000.0,6055000.0,15399000.0,2942.9,517.2,222.5,21.3,4221000.0,91.2,91.1,88.5,189.7,-5.2,-2.7,2181.0,1169.1,307.5,-2.1,7.2,654.8,-1.4,7.6,512.0,0.0,10.7,11192.0,310.29,6264.0,8133.46,262.5,20.1,21268.0
2021-10-31,34666000.0,5786000.0,15650000.0,2819.9,510.1,231.74,23.05,4528000.0,93.74,95.82,85.5,170.059,-12.3,-5.4,2136.0,1141.3,313.2,-1.8,6.5,629.06853,-2.2,6.6,483.96227,-5.7,9.3,11379.0,310.29,6264.0,8133.46,247.5,12.6,25796.0
2021-11-30,36330000.0,6028000.0,16116000.0,3092.5,507.9,231.3,22.27,4818000.0,94.81,89.71,87.7,193.7,-7.5,-9.9,2171.0,1211.2,310.1,-1.8,5.7,605.0,-4.5,5.3,520.2,-3.8,8.1,11237.0,310.29,6264.0,8133.46,270.2,5.7,27000.0
2021-12-31,36633000.0,5724000.0,16491000.0,3165.09,624.9,245.4,23.49,4939000.0,107.01,92.04,91.0,207.1,2.1,-0.9,2186.0,1305.7,310.9,-4.0,4.8,624.3,1.1,5.0,582.8,4.9,7.4,11794.0,310.29,6264.0,8133.47,289.4,-0.2,19526.0
2022-01-31,,,,3183.1,618.6,,23.97,,112.07,100.75,,,,,2136.0,1181.4,,,,,,,,,,11957.0,310.29,6264.0,8133.47,,,18240.0
2022-02-28,38572000.0,6785000.0,15988000.0,3046.7,570.1,,22.88,,101.52,92.22,,,,5.2,1832.0,968.8,,,-1.4,,,-7.3,,,3.8,10424.0,310.29,6264.0,8133.47,,19.5,18688.0
2022-03-31,39592000.0,7203000.0,16724000.0,3496.52,652.5,236.45,24.9,4401000.0,102.14,92.69,93.5,189.8,2.8,5.7,2212.0,1242.5,329.8,1.8,-0.4,685.3,4.5,-3.5,528.0,-3.6,-0.5,11701.0,310.29,6264.0,8133.47,204.5,-17.9,23581.0
2022-04-30,39998000.0,7379000.0,17079000.0,3025.01,530.7,217.8,24.76,4035000.0,80.18,79.21,89.8,171.4,-9.7,-1.7,2136.0,1155.0,336.1,0.3,-0.2,682.0,4.6,-1.5,520.0,-7.0,-0.6,11699.0,310.29,6264.0,8133.47,158.4,-26.7,26785.0
2022-05-31,41237000.0,7600000.0,17292000.0,3095.49,527.0,244.4,26.34,4048000.0,90.74,89.41,91.2,180.3,-3.3,0.1,2173.0,1196.7,342.3,3.1,0.3,698.8,5.4,-0.5,535.6,-5.5,-1.7,12386.0,310.29,6264.0,8133.47,220.5,-15.5,29362.0
2022-06-30,41733000.0,7972000.0,17105000.0,3170.22,585.9,240.17,23.67,4353000.0,91.07,87.02,93.2,201.90336,5.2,2.4,2260.0,1280.7,339.1,3.2,0.7,731.65787,7.4,2.3,550.14911,-6.7,-2.8,12007.0,310.29,6264.0,8133.47,256.8,8.1,31128.0
2022-07-31,42637000.0,7939000.0,17276000.0,2989.74,639.2,224.35,21.99,4172000.0,94.28,85.79,87.0,188.54667,7.4,4.2,2189.0,1221.1,342.6,5.6,1.1,708.16039,8.8,3.1,533.47523,-2.0,-2.9,12380.0,310.29,6264.0,8133.47,246.7,22.1,30319.0
2022-08-31,41408000.0,7759000.0,17196000.0,3109.23,633.5,222.0,21.73,4316000.0,88.79,91.38,91.7,196.5,7.3,4.3,2206.0,1264.8,350.6,9.6,2.1,718.4,10.1,4.0,530.4,0.4,-1.4,12255.0,310.29,6264.0,8133.47,267.8,7.2,29905.0
2022-09-30,40111000.0,7393000.0,17196000.0,3387.73,585.3,244.5,23.44,4980000.0,87.63,98.91,94.6,222.1,21.2,6.3,2235.0,1300.3,342.1,9.3,2.8,705.2,7.5,4.4,543.2,2.6,-0.9,11787.0,310.29,6264.0,8133.47,266.0,1.9,32798.0
2022-10-31,41777000.0,7525000.0,17491000.0,3375.22,613.4,261.3,26.95,5070000.0,96.65,102.49,95.3,194.9,12.0,7.6,2128.0,1186.0,344.9,9.5,3.3,710.8,12.8,5.1,525.4,6.2,-0.3,12211.0,310.29,6264.0,8133.46,245.6,-2.7,34168.0
2022-11-30,42381000.0,7302000.0,17778000.0,2769.77,602.5,250.9,26.83,5088000.0,94.92,96.5,98.6,210.5,5.9,6.9,2263.0,1350.1,340.6,9.4,3.9,680.2,12.3,5.8,554.8,4.9,-1.1,11542.0,310.29,6366.999999999999,8133.46,256.3,-7.0,36651.0
2022-12-31,41257000.0,6576000.0,17666000.0,2309.39,608.7,264.7,27.21,5339000.0,101.59,95.02,96.1,216.4,0.8,5.7,2196.0,1316.7,343.4,10.3,4.5,652.1,4.4,5.6,561.5,-6.9,-1.4,11878.0,310.29,6463.999999999999,8133.46,245.5,-18.4,34813.0
2023-01-31,,,,1977.86,576.2,,27.67,,101.8,101.7,,,,,2133.0,1205.7,,,,,,,,,,11600.0,310.29,6512.0,8133.46,,,35925.0
2023-02-28,43339000.0,7042000.0,17012000.0,2505.58,541.0,,25.35,,93.0,92.59,,,,4.3,1905.0,1048.2,,,7.5,,,10.4,,,-1.9,10459.0,310.29,6592.000000000001,8133.46,,5.9,30802.0
2023-03-31,43498000.0,6973000.0,17223000.0,3556.56,660.8,261.19,28.06,5864000.0,104.49,103.5,105.4,220.0363,15.5,7.8,2306.0,1349.5,336.7,3.0,5.9,681.24591,-0.5,6.3,578.90363,9.1,2.9,11820.0,310.29,6650.0,8133.46,287.6,37.4,29946.0
2023-04-30,43188000.0,6774000.0,17441000.0,3533.71,576.2,274.4,27.85,5372000.0,97.3,108.33,105.9,189.6,12.4,6.9,2264.0,1310.4,333.4,0.8,3.9,690.5,-0.6,4.0,541.0,7.0,3.7,11626.0,310.29,6676.000000000001,8133.46,230.6,44.7,29349.0
2023-05-31,43607000.0,6670000.0,17467000.0,3675.39,540.7,261.65,28.54,5804000.0,92.8,113.94,109.5,199.9,10.2,6.7,2288.0,1423.0,341.5,1.1,3.4,700.9,-4.7,2.3,542.7,4.1,4.0,12017.0,310.29,6727.0,8133.46,265.6,24.4,33382.0
2023-06-30,41503000.0,6856000.0,17245000.0,3683.93,567.5,238.39,24.27,6981000.0,90.9,110.8,109.7,211.0,6.6,6.8,2181.0,1390.9,345.5,2.9,3.4,709.0,-2.3,1.5,603.1,13.0,10.2,11823.0,310.29,6795.0,8133.46,267.5,7.8,41123.0
2023-07-31,41465000.0,6939000.0,17367000.0,3874.21,605.5,240.8,21.13,6450000.0,100.45,102.94,103.4,187.6,3.9,7.3,2206.0,1249.7,348.1,1.5,2.8,693.3,-2.2,0.9,528.4,2.2,4.0,12167.0,310.29,6869.000000000001,8133.46,218.4,-10.0,45314.0
2023-08-31,40524000.0,6985000.0,17488000.0,3870.93,646.7,264.3,25.74,6382000.0,98.83,112.42,111.7,186.6,-0.5,6.1,2284.0,1377.0,360.2,3.1,2.9,708.0,-0.8,0.6,548.3,6.6,4.3,12389.0,310.29,6962.0,8133.46,283.3,7.2,45022.0
2023-09-30,40245000.0,7019000.0,17254000.0,3773.1,622.1,263.88,25.84,6496000.0,96.87,111.53,113.6,201.4,2.4,6.1,2338.0,1450.3,357.7,5.3,3.3,707.2,1.6,0.8,555.0,5.7,5.2,11929.0,310.29,7046.0,8133.46,279.1,7.7,42154.0
2023-10-31,41724000.0,7251000.0,17592000.0,3897.64,669.9,282.2,26.02,7021000.0,103.11,116.66,113.1,196.9,5.1,5.4,2379.0,1436.5,361.6,6.0,3.7,705.3,1.3,0.9,550.1,8.3,5.7,12042.0,310.29,7120.000000000001,8133.46,264.2,10.4,40426.0
2023-11-30,41907000.0,7283000.0,17865000.0,3787.55,660.6,269.4,26.89,7074000.0,100.99,112.72,114.0,201.2,4.5,4.6,2351.0,1426.1,354.4,4.8,3.9,698.7,4.4,1.1,573.7,7.6,5.2,11864.0,310.29,7158.0,8133.46,278.3,10.7,43093.0
2023-12-31,41458000.0,7110000.0,17995000.0,3873.95,680.9,271.49,28.1,7347000.0,107.36,116.16,116.9,195.03452,-0.2,4.9,2255.0,1464.0,358.7,4.9,3.7,684.41603,5.1,1.4,594.61502,14.0,5.7,12078.0,310.29,7187.0,8133.46,304.0,29.4,43988.0
2024-01-31,,,,3709.64,639.7,,28.2,,105.88,106.73,,,,,2382.0,1350.0,,,,,,,,,,11905.0,310.29,7219.000000000001,8133.46,,,41523.0
2024-02-29,44323000.0,8067000.0,17342000.0,3238.19,536.2,,24.83,,102.38,100.91,,,,2.8,1997.0,1124.5,,,5.5,,,3.8,,,11.5,11178.0,310.29,7257.999999999999,8133.46,,5.0,32475.0
2024-03-31,44116000.0,8276000.0,17821000.0,3884.93,671.1,277.3,27.2,6802000.0,110.45,107.39,114.7,200.0,-6.5,-1.2,2177.0,1225.3,358.5,7.4,6.8,677.6,0.5,2.8,603.0,8.4,13.5,12107.0,310.29,7274.000000000001,8133.46,290.8,3.2,42792.0
2024-04-30,43147000.0,8224000.0,18200000.0,3822.52,676.0,248.9,26.96,6528000.0,96.09,100.81,113.6,181.3,-5.2,0.2,2292.0,1308.5,358.2,7.2,7.1,686.3,-0.6,1.9,584.0,8.2,11.6,11774.0,310.29,7280.0,8133.46,231.3,-0.1,52893.0
2024-05-31,43067000.0,8140000.0,18505000.0,3798.41,697.2,257.0,27.56,6321000.0,91.11,107.32,108.9,176.3,-11.1,0.6,2306.0,1306.3,365.3,7.2,7.1,713.0,1.7,1.9,594.6,8.4,11.0,12029.0,310.29,7280.0,8133.46,239.8,-11.0,62538.0
2024-06-30,43541000.0,8332000.0,18660000.0,3640.73,720.0,260.92,25.52,6246000.0,88.47,107.04,112.8,198.7836,-3.4,0.2,2212.0,,366.6,6.2,6.9,719.28395,1.4,1.8,592.76541,6.4,9.5,12049.0,310.29,7280.0,8133.46,262.0,-3.7,66243.0
2024-07-31,44302000.0,8713000.0,18808000.0,3694.44,721.1,,,,,,110.3,189.99213,1.3,-1.3,,,367.8,6.0,6.7,720.51622,3.9,2.2,557.14364,4.8,9.6,12155.0,310.29,7280.0,8133.46,200.0,-10.4,
2024-08-31,,,,,658.7,,,,,,,,,,,,,,,,,,,,,,310.29,,8133.46,,,
