,中国:日均销量(厂家零售):乘用车
2016-02-16,57130.0
2016-02-17,57130.0
2016-02-18,57130.0
2016-02-19,46061.0
2016-02-22,46061.0
2016-02-23,46061.0
2016-02-24,46061.0
2016-02-25,46061.0
2016-02-26,46061.0
2016-02-29,56283.0
2016-03-01,56283.0
2016-03-02,56283.0
2016-03-03,56283.0
2016-03-04,52164.0
2016-03-07,52164.0
2016-03-08,52164.0
2016-03-09,52164.0
2016-03-10,52164.0
2016-03-11,42836.0
2016-03-14,42836.0
2016-03-15,42836.0
2016-03-16,42836.0
2016-03-17,42836.0
2016-03-18,47165.0
2016-03-21,47165.0
2016-03-22,47165.0
2016-03-23,47165.0
2016-03-24,47165.0
2016-03-25,53321.0
2016-03-28,53321.0
2016-03-29,53321.0
2016-03-30,53321.0
2016-03-31,75536.0
2016-04-01,75536.0
2016-04-05,75536.0
2016-04-06,75536.0
2016-04-07,75536.0
2016-04-08,33691.0
2016-04-11,33691.0
2016-04-12,33691.0
2016-04-13,33691.0
2016-04-14,33691.0
2016-04-15,42747.0
2016-04-18,42747.0
2016-04-19,42747.0
2016-04-20,42747.0
2016-04-21,42747.0
2016-04-22,48559.0
2016-04-25,48559.0
2016-04-26,48559.0
2016-04-27,48559.0
2016-04-28,48559.0
2016-04-29,48559.0
2016-05-03,71630.0
2016-05-04,71630.0
2016-05-05,71630.0
2016-05-06,42201.0
2016-05-09,42201.0
2016-05-10,42201.0
2016-05-11,42201.0
2016-05-12,42201.0
2016-05-13,47679.0
2016-05-16,47679.0
2016-05-17,47679.0
2016-05-18,47679.0
2016-05-19,47679.0
2016-05-20,46577.0
2016-05-23,46577.0
2016-05-24,46577.0
2016-05-25,46577.0
2016-05-26,46577.0
2016-05-27,46577.0
2016-05-30,46577.0
2016-05-31,58427.0
2016-06-01,58427.0
2016-06-02,58427.0
2016-06-03,58427.0
2016-06-06,58427.0
2016-06-07,58427.0
2016-06-08,51590.0
2016-06-13,51590.0
2016-06-14,51590.0
2016-06-15,51590.0
2016-06-16,51590.0
2016-06-17,38263.0
2016-06-20,38263.0
2016-06-21,38263.0
2016-06-22,38263.0
2016-06-23,38263.0
2016-06-24,53797.0
2016-06-27,53797.0
2016-06-28,53797.0
2016-06-29,53797.0
2016-06-30,53797.0
2016-07-01,53797.0
2016-07-04,53797.0
2016-07-05,53797.0
2016-07-06,53797.0
2016-07-07,53797.0
2016-07-08,33825.0
2016-07-11,33825.0
2016-07-12,33825.0
2016-07-13,33825.0
2016-07-14,33825.0
2016-07-15,42891.0
2016-07-18,42891.0
2016-07-19,42891.0
2016-07-20,42891.0
2016-07-21,42891.0
2016-07-22,46516.0
2016-07-25,46516.0
2016-07-26,46516.0
2016-07-27,46516.0
2016-07-28,46516.0
2016-07-29,46516.0
2016-08-01,58028.0
2016-08-02,58028.0
2016-08-03,58028.0
2016-08-04,58028.0
2016-08-05,46626.0
2016-08-08,46626.0
2016-08-09,46626.0
2016-08-10,46626.0
2016-08-11,46626.0
2016-08-12,41362.0
2016-08-15,41362.0
2016-08-16,41362.0
2016-08-17,41362.0
2016-08-18,41362.0
2016-08-19,51284.0
2016-08-22,51284.0
2016-08-23,51284.0
2016-08-24,51284.0
2016-08-25,51284.0
2016-08-26,54148.0
2016-08-29,54148.0
2016-08-30,54148.0
2016-08-31,66112.0
2016-09-01,66112.0
2016-09-02,66112.0
2016-09-05,66112.0
2016-09-06,66112.0
2016-09-07,66112.0
2016-09-08,66112.0
2016-09-09,55430.0
2016-09-12,55430.0
2016-09-13,55430.0
2016-09-14,57145.0
2016-09-19,57145.0
2016-09-20,57145.0
2016-09-21,57145.0
2016-09-22,57145.0
2016-09-23,65483.0
2016-09-26,65483.0
2016-09-27,65483.0
2016-09-28,65483.0
2016-09-29,65483.0
2016-09-30,85714.0
2016-10-10,34181.0
2016-10-11,34181.0
2016-10-12,34181.0
2016-10-13,34181.0
2016-10-14,85330.0
2016-10-17,85330.0
2016-10-18,85330.0
2016-10-19,85330.0
2016-10-20,85330.0
2016-10-21,66798.0
2016-10-24,66798.0
2016-10-25,66798.0
2016-10-26,66798.0
2016-10-27,66798.0
2016-10-28,66798.0
2016-10-31,76079.0
2016-11-01,76079.0
2016-11-02,76079.0
2016-11-03,76079.0
2016-11-04,69822.0
2016-11-07,69822.0
2016-11-08,69822.0
2016-11-09,69822.0
2016-11-10,69822.0
2016-11-11,53808.0
2016-11-14,53808.0
2016-11-15,53808.0
2016-11-16,53808.0
2016-11-17,53808.0
2016-11-18,71491.0
2016-11-21,71491.0
2016-11-22,71491.0
2016-11-23,71491.0
2016-11-24,71491.0
2016-11-25,73109.0
2016-11-28,73109.0
2016-11-29,73109.0
2016-11-30,95552.0
2016-12-01,95552.0
2016-12-02,95552.0
2016-12-05,95552.0
2016-12-06,95552.0
2016-12-07,95552.0
2016-12-08,95552.0
2016-12-09,69007.0
