,B.IPE_open,B.IPE_high,B.IPE_low,B.IPE_close,B.IPE_volume
2012-03-05,123.37,124.66,122.66,123.8,166569.0
2012-03-06,124.39,124.39,121.59,121.98,233269.0
2012-03-07,121.59,123.92,121.42,123.55,165046.0
2012-03-08,123.5,125.74,123.19,124.96,144716.0
2012-03-09,124.97,125.83,124.24,125.35,118918.0
2012-03-12,125.11,125.12,123.68,124.76,132236.0
2012-03-13,124.9,126.25,124.47,125.67,132933.0
2012-03-14,125.7,126.22,124.26,124.58,193938.0
2012-03-15,124.6,124.87,121.5,122.6,301263.0
2012-03-16,122.55,126.16,122.45,124.25,170802.0
2012-03-19,125.6,126.05,124.82,125.47,139992.0
2012-03-20,125.27,125.44,123.2,124.12,185592.0
2012-03-21,124.21,124.8,123.76,124.2,152408.0
2012-03-22,124.04,124.25,122.3,123.14,189187.0
2012-03-23,125.04,125.89,124.58,125.65,128771.0
2012-03-26,125.0,125.89,124.58,125.75,124027.0
2012-03-27,125.04,125.89,124.58,125.65,128771.0
2012-03-28,125.18,125.18,123.53,124.16,212669.0
2012-03-29,124.23,124.64,121.37,122.39,224416.0
2012-03-30,122.6,124.07,122.58,122.88,185189.0
2012-04-05,122.05,123.0,121.25,122.21,154035.0
2012-04-06,,,,122.21,
2012-04-09,,,,122.21,
2012-04-10,122.0,122.25,119.12,120.53,206219.0
2012-04-11,119.34,120.52,118.71,119.6,230937.0
