指标名称,中关村电子产品价格指数:手机通讯,光伏行业综合价格指数(SPI):硅片_x,现货价(周平均价):多晶硅片(156mm×156mm),光伏行业综合价格指数(SPI),光伏行业综合价格指数(SPI):多晶硅,光伏行业综合价格指数(SPI):硅片_y,光伏经理人指数(SMI):全行业
2021-04-19,,37.86,,38.6,89.47,37.86,128.997937
2021-04-21,,,0.246,,,,
2021-04-23,,,,,,,
2021-04-24,64.56,,,,,,
2021-04-26,,39.11,,39.98,91.95,39.11,132.631514
2021-04-28,,,0.261,,,,
2021-04-30,,39.7,,40.66,95.36,39.7,
2021-05-01,64.76,,,,,,
2021-05-05,,,0.261,,,,
2021-05-08,64.76,,,,,,
2021-05-10,,40.11,,41.51,98.45,40.11,131.415113
2021-05-12,,,0.289,,,,
2021-05-15,64.76,,,,,,
2021-05-17,,43.55,,43.67,104.64,43.55,129.605382
2021-05-19,,,0.299,,,,
2021-05-22,64.76,,,,,,
2021-05-24,,44.24,,45.18,116.1,44.24,131.646465
2021-05-26,,,0.339,,,,
2021-05-29,64.76,,,,,,
2021-05-31,,46.67,,47.78,128.48,46.67,129.605382
2021-06-02,,,0.341,,,,
2021-06-05,64.76,,,,,,
2021-06-07,,49.87,,49.18,134.67,49.87,124.841776
2021-06-09,,,0.341,,,,
2021-06-12,64.76,,,,,,
2021-06-15,,49.54,,48.96,134.67,49.54,135.020389
2021-06-16,,,0.341,,,,
2021-06-19,64.76,,,,,,
2021-06-21,,48.47,,48.39,134.67,48.47,140.768136
2021-06-23,,,0.323,,,,
2021-06-26,64.76,,,,,,
2021-06-28,,47.64,,47.82,134.67,47.64,146.121776
2021-06-30,,,0.317,,,,
2021-07-03,64.76,,,,,,
2021-07-05,,43.0,,45.74,134.67,43.0,148.652642
2021-07-07,,,0.313,,,,
2021-07-10,64.76,,,,,,
2021-07-12,,42.17,,44.75,134.67,42.17,154.809095
2021-07-14,,,0.305,,,,
2021-07-17,64.76,,,,,,
2021-07-19,,41.7,,44.44,133.44,41.7,157.623073
2021-07-21,,,0.295,,,,
2021-07-24,64.76,,,,,,
2021-07-26,,40.81,,43.76,131.58,40.81,167.918235
2021-07-28,,,0.287,,,,
2021-07-31,64.76,,,,,,
2021-08-02,,40.89,,43.18,130.03,40.89,179.938986
2021-08-04,,,0.287,,,,
2021-08-07,64.76,,,,,,
2021-08-09,,40.89,,43.85,129.1,40.89,181.898965
2021-08-11,,,0.287,,,,
2021-08-14,64.76,,,,,,
2021-08-16,,43.48,,44.73,129.1,43.48,177.294151
2021-08-18,,,0.287,,,,
2021-08-21,64.76,,,,,,
2021-08-23,,45.11,,45.96,129.1,45.11,180.093997
2021-08-25,,,0.287,,,,
2021-08-28,64.76,,,,,,
2021-08-30,,47.48,,47.03,129.72,47.48,191.617003
2021-09-01,,,0.287,,,,
2021-09-04,64.76,,,,,,
2021-09-06,,48.56,,48.21,132.2,48.56,188.320794
2021-09-08,,,0.287,,,,
2021-09-11,64.76,,,,,,
2021-09-13,,48.56,,48.29,133.13,48.56,184.306114
2021-09-15,,,0.288,,,,
2021-09-18,64.76,,,,,,
2021-09-22,,,0.288,,,,
2021-09-25,64.76,,,,,,
2021-09-27,,49.33,,50.76,134.06,49.33,188.289354
2021-09-29,,,0.298,,,,
2021-09-30,,55.18,,53.68,146.44,55.18,
2021-10-02,64.76,,,,,,
2021-10-06,,,0.298,,,,
2021-10-09,64.76,,,,,,
2021-10-11,,,,,,,179.582998
2021-10-13,,,0.358,,,,
2021-10-16,64.76,,,,,,
2021-10-18,,58.16,,57.96,165.63,58.16,184.306114
2021-10-20,,,0.361,,,,
2021-10-23,64.76,,,,,,
2021-10-25,,58.16,,58.38,168.11,58.16,180.313193
2021-10-27,,,0.358,,,,
2021-10-30,64.76,,,,,,
2021-11-01,,58.16,,58.38,168.11,58.16,187.195183
2021-11-03,,,0.352,,,,
2021-11-06,64.76,,,,,,
2021-11-08,,58.16,,58.51,169.66,58.16,177.629982
2021-11-10,,,0.344,,,,
2021-11-13,64.76,,,,,,
2021-11-15,,57.88,,58.41,169.66,57.88,180.313193
2021-11-17,,,0.333,,,,
2021-11-20,64.76,,,,,,
2021-11-22,,57.8,,58.32,169.66,57.8,182.780492
2021-11-24,,,0.319,,,,
2021-11-27,64.76,,,,,,
2021-11-29,,54.99,,57.33,169.66,54.99,176.14995
2021-12-01,,,0.293,,,,
2021-12-04,64.76,,,,,,
2021-12-06,,52.73,,56.61,169.66,52.73,180.313193
2021-12-08,,,0.279,,,,
2021-12-11,64.76,,,,,,
2021-12-13,,50.66,,55.03,164.09,50.66,180.020498
2021-12-15,,,0.26,,,,
2021-12-18,64.76,,,,,,
2021-12-20,,48.51,,53.77,157.89,48.51,172.917573
2021-12-22,,,0.26,,,,
2021-12-25,64.76,,,,,,
2021-12-27,,48.68,,52.95,148.61,48.68,180.313193
2021-12-29,,,0.279,,,,
2022-01-01,64.76,,,,,,
2022-01-04,,48.95,,52.57,143.96,48.95,185.060045
2022-01-05,,,0.279,,,,
2022-01-08,64.76,,,,,,
2022-01-10,,49.23,,52.58,143.96,49.23,179.113231
2022-01-12,,,0.279,,,,
2022-01-17,,50.88,,53.26,147.37,50.88,180.313193
2022-01-19,,,0.299,,,,
2022-01-22,64.76,,,,,,
2022-01-24,,50.99,,53.47,149.23,50.99,178.214097
2022-01-26,,,0.3,,,,
2022-01-29,64.76,,,,,,
2022-02-02,,,0.312,,,,
2022-02-05,64.76,,,,,,
2022-02-07,,52.37,,54.17,151.08,52.37,175.487903
2022-02-09,,,0.312,,,,
2022-02-12,64.76,,,,,,
2022-02-14,,52.58,,54.36,152.32,52.58,167.236395
2022-02-16,,,0.312,,,,
2022-02-19,64.76,,,,,,
2022-02-21,,52.64,,54.56,153.56,52.64,174.190247
2022-02-23,,,0.317,,,,
2022-02-26,64.76,,,,,,
2022-02-28,,53.2,,54.73,153.87,53.2,187.859417
2022-03-02,,,0.317,,,,
2022-03-05,64.76,,,,,,
2022-03-07,,53.2,,54.91,154.18,53.2,196.154921
2022-03-09,,,0.317,,,,
2022-03-12,64.76,,,,,,
2022-03-14,,53.82,,55.17,154.18,53.82,178.214097
2022-03-16,,,0.315,,,,
2022-03-19,64.76,,,,,,
2022-03-21,,53.82,,55.19,154.18,53.82,171.97139
2022-03-23,,,0.314,,,,
2022-03-26,64.76,,,,,,
2022-03-28,,53.84,,55.2,154.18,53.84,164.785877
2022-03-30,,,0.314,,,,
2022-04-02,64.76,,,,,,
2022-04-06,,53.84,0.314,55.25,154.8,53.84,156.498817
2022-04-09,64.76,,,,,,
2022-04-11,,54.46,,55.52,156.04,54.46,155.94109
2022-04-13,,,0.314,,,,
2022-04-16,64.76,,,,,,
2022-04-18,,54.56,,55.64,156.04,54.56,153.956255
2022-04-20,,,0.314,,,,
2022-04-23,64.76,,,,,,
2022-04-25,,54.56,,55.72,156.04,54.56,144.016688
2022-04-27,,,0.307,,,,
2022-04-30,64.76,,,,,,
2022-05-04,,,0.307,,,,
2022-05-05,,54.93,,55.98,157.89,54.93,149.417389
2022-05-07,64.76,,,,,,
2022-05-09,,54.93,,56.23,159.75,54.93,152.214856
2022-05-11,,,0.303,,,,
2022-05-14,64.76,,,,,,
2022-05-16,,54.93,,56.47,160.99,54.93,157.450127
2022-05-18,,,0.302,,,,
2022-05-21,64.76,,,,,,
2022-05-23,,54.93,,56.47,160.99,54.93,170.724621
2022-05-25,,,0.305,,,,
2022-05-28,64.76,,,,,,
2022-05-30,,54.93,,56.47,160.99,54.93,168.213035
2022-06-01,,,0.305,,,,
2022-06-04,64.76,,,,,,
2022-06-06,,54.93,,56.82,164.09,54.93,172.353765
2022-06-08,,,0.305,,,,
2022-06-11,64.76,,,,,,
2022-06-13,,54.85,,56.92,165.33,54.85,171.640844
2022-06-15,,,0.305,,,,
2022-06-18,64.76,,,,,,
2022-06-20,,54.85,,57.01,165.33,54.85,169.018362
2022-06-22,,,0.305,,,,
2022-06-25,64.76,,,,,,
2022-06-27,,54.85,,57.21,166.56,54.85,171.416354
2022-06-29,,,0.315,,,,
2022-07-02,64.76,,,,,,
2022-07-04,,56.8,,58.64,177.09,56.8,172.917806
2022-07-06,,,0.348,,,,
2022-07-09,64.76,,,,,,
2022-07-11,,57.06,,59.7,180.8,57.06,179.031319
2022-07-13,,,0.348,,,,
2022-07-16,64.76,,,,,,
2022-07-18,,57.09,,59.92,182.66,57.09,189.631459
2022-07-20,,,0.348,,,,
2022-07-23,64.76,,,,,,
2022-07-25,,57.09,,59.97,183.28,57.09,185.198432
2022-07-27,,,0.359,,,,
2022-07-30,64.76,,,,,,
2022-08-01,,58.69,,60.81,183.9,58.69,194.91083
2022-08-03,,,0.359,,,,
2022-08-06,64.76,,,,,,
2022-08-08,,58.69,,61.02,186.38,58.69,185.612157
2022-08-10,,,0.359,,,,
2022-08-13,64.76,,,,,,
2022-08-15,,58.69,,61.12,187.62,58.69,192.826368
2022-08-17,,,0.359,,,,
2022-08-20,64.76,,,,,,
2022-08-22,,58.69,,61.17,188.24,58.69,195.570663
2022-08-24,,,0.356,,,,
2022-08-27,64.76,,,,,,
2022-08-29,,58.69,,61.22,188.85,58.69,194.885528
2022-08-31,,,0.352,,,,
2022-09-03,64.76,,,,,,
2022-09-05,,58.69,,61.32,190.09,58.69,179.886421
2022-09-07,,,0.349,,,,
2022-09-10,64.76,,,,,,
2022-09-13,,58.69,,61.39,190.09,58.69,183.340621
2022-09-14,,,0.348,,,,
2022-09-17,64.76,,,,,,
2022-09-19,,58.69,,61.39,190.09,58.69,177.504772
2022-09-21,,,0.344,,,,
2022-09-24,64.76,,,,,,
2022-09-26,,58.69,,61.39,190.09,58.69,182.050016
2022-09-28,,,0.337,,,,
2022-10-01,64.76,,,,,,
2022-10-05,,,0.337,,,,
2022-10-08,64.76,,,,,,
2022-10-10,,58.69,,61.64,190.09,58.69,176.03
2022-10-12,,,0.336,,,,
2022-10-15,64.76,,,,,,
2022-10-17,,58.69,,61.64,190.09,58.69,182.295836
2022-10-19,,,0.333,,,,
2022-10-22,64.76,,,,,,
2022-10-24,,58.69,,61.64,190.09,58.69,182.552963
2022-10-26,,,0.332,,,,
2022-10-29,64.76,,,,,,
2022-10-31,,58.69,,61.75,190.09,58.69,190.36321
2022-11-02,,,0.328,,,,
2022-11-05,64.76,,,,,,
2022-11-07,,66.77,,63.84,190.09,66.77,193.793814
2022-11-09,,,0.327,,,,
2022-11-12,64.76,,,,,,
2022-11-14,,66.51,,63.77,189.94,66.51,181.318988
2022-11-16,,,0.331,,,,
2022-11-19,64.76,,,,,,
2022-11-21,,66.4,,63.72,189.63,66.4,179.35
2022-11-23,,,0.325,,,,
2022-11-26,64.76,,,,,,
2022-11-28,,66.05,,63.63,189.63,66.05,177.847781
2022-11-30,,,0.315,,,,
2022-12-03,64.76,,,,,,
2022-12-05,,64.34,,62.99,187.62,64.34,168.529302
2022-12-07,,,0.305,,,,
2022-12-10,64.76,,,,,,
2022-12-12,,64.01,,62.54,185.76,64.01,165.817005
2022-12-14,,,0.272,,,,
2022-12-17,64.76,,,,,,
2022-12-19,,58.05,,58.92,170.28,58.05,161.790811
2022-12-21,,,0.257,,,,
2022-12-24,64.76,,,,,,
2022-12-28,,,0.236,,,,
2022-12-31,64.76,,,,,,
2023-01-03,,52.1,,50.73,130.03,52.1,166.577771
2023-01-04,,,0.212,,,,
2023-01-07,64.76,,,,,,
2023-01-09,,41.48,,43.03,111.46,41.48,169.506193
2023-01-11,,,0.215,,,,
2023-01-14,64.76,,,,,,
2023-01-16,,41.04,,42.09,105.26,41.04,167.188532
2023-01-18,,,0.25,,,,
2023-01-21,64.76,,,,,,
2023-01-25,,,0.25,,,,
2023-01-28,64.76,,,,,,
2023-01-30,,52.18,,45.73,105.26,52.18,168.79389
2023-02-01,,,0.341,,,,
2023-02-04,64.76,,,,,,
2023-02-06,,55.49,,50.08,136.22,55.49,166.335816
2023-02-08,,,0.357,,,,
2023-02-11,64.76,,,,,,
2023-02-13,,70.69,,56.96,151.7,70.69,165.898089
2023-02-15,,,0.357,,,,
2023-02-18,64.76,,,,,,
2023-02-20,,70.69,,56.76,151.7,70.69,163.656381
2023-02-22,,,0.352,,,,
2023-02-25,64.76,,,,,,
2023-02-27,,70.69,,56.76,151.7,70.69,168.938241
2023-03-01,,,0.35,,,,
2023-03-04,64.76,,,,,,
2023-03-06,,70.69,,55.84,145.51,70.69,166.411942
2023-03-08,,,0.35,,,,
2023-03-11,64.76,,,,,,
2023-03-13,,71.92,,55.87,143.65,71.92,165.527191
2023-03-15,,,0.35,,,,
2023-03-18,64.76,,,,,,
2023-03-20,,71.92,,55.41,139.32,71.92,157.694756
2023-03-22,,,0.35,,,,
2023-03-25,64.76,,,,,,
2023-03-27,,71.92,,55.06,136.22,71.92,158.264541
2023-03-29,,,0.35,,,,
2023-04-01,64.76,,,,,,
2023-04-03,,71.92,,54.38,131.27,71.92,157.139366
2023-04-05,,,0.35,,,,
2023-04-08,64.76,,,,,,
2023-04-10,,72.15,,53.97,126.93,72.15,151.859972
2023-04-12,,,0.345,,,,
2023-04-15,64.76,,,,,,
2023-04-17,,72.15,,53.5,122.6,72.15,149.042434
2023-04-19,,,0.341,,,,
2023-04-22,64.76,,,,,,
2023-04-24,,71.87,,53.31,121.36,71.87,149.042498
2023-04-26,,,0.327,,,,
2023-04-29,64.76,,,,,,
2023-05-03,,,0.313,,,,
2023-05-06,64.76,,,,,,
2023-05-10,,,0.263,,,,
2023-05-13,64.76,,,,,,
2023-05-15,,63.87,,47.83,94.12,63.87,148.333559
2023-05-17,,,0.243,,,,
2023-05-20,64.76,,,,,,
2023-05-22,,58.41,,45.47,89.78,58.41,148.814973
2023-05-24,,,0.219,,,,
2023-05-27,64.76,,,,,,
2023-05-29,,51.79,,42.39,82.35,51.79,149.904047
2023-05-31,,,0.21,,,,
2023-06-03,64.76,,,,,,
2023-06-05,,48.92,,39.54,73.07,48.92,145.019706
2023-06-07,,,0.198,,,,
2023-06-10,64.76,,,,,,
2023-06-12,,44.68,,36.44,60.68,44.68,146.434281
2023-06-14,,,0.178,,,,
2023-06-17,64.76,,,,,,
2023-06-19,,36.29,,31.66,48.3,36.29,150.184451
2023-06-21,,,0.178,,,,
2023-06-24,64.76,,,,,,
2023-06-26,,31.44,,28.36,42.11,31.44,154.19891
2023-06-28,,,0.178,,,,
2023-07-01,64.76,,,,,,
2023-07-03,,31.44,,28.0,42.11,31.44,157.224874
2023-07-05,,,0.173,,,,
2023-07-10,,31.44,,28.03,42.11,31.44,152.83
2023-07-12,,,0.173,,,,
2023-07-17,,31.99,,27.98,42.11,31.99,148.104634
2023-07-19,,,0.173,,,,
2023-07-24,,32.58,,28.37,43.34,32.58,143.86563
2023-07-26,,,0.173,,,,
2023-07-31,,32.58,,28.41,43.96,32.58,142.7
2023-08-02,,,0.177,,,,
2023-08-07,,33.13,,28.47,44.58,33.13,141.022689
2023-08-09,,,0.177,,,,
2023-08-14,,35.0,,28.98,45.2,35.0,141.576213
2023-08-16,,,0.191,,,,
2023-08-21,,35.06,,29.03,45.82,35.06,139.37
2023-08-23,,,0.201,,,,
2023-08-28,,36.16,,29.49,47.68,36.16,139.878531
2023-08-30,,,0.201,,,,
2023-09-04,,36.35,,29.99,50.77,36.35,138.516493
2023-09-06,,,0.201,,,,
2023-09-11,,36.35,,30.02,52.01,36.35,136.478426
2023-09-13,,,0.2,,,,
2023-09-18,,36.35,,29.93,52.63,36.35,135.228231
2023-09-20,,,0.198,,,,
2023-09-25,,35.95,,29.37,52.63,35.95,131.250668
2023-09-27,,,0.185,,,,
2023-10-04,,,0.184,,,,
2023-10-09,,32.5,,27.9,52.63,32.5,134.8953
2023-10-11,,,0.178,,,,
2023-10-16,,28.36,,26.11,52.01,28.36,132.16
2023-10-18,,,0.163,,,,
2023-10-23,,27.92,,25.67,52.01,27.92,129.637758
2023-10-25,,,0.159,,,,
2023-10-30,,24.73,,23.06,45.82,24.73,127.636861
2023-11-01,,,0.156,,,,
2023-11-06,,22.66,,21.19,40.25,22.66,126.722346
2023-11-08,,,0.156,,,,
2023-11-13,,22.66,,21.01,40.25,22.66,128.947286
2023-11-15,,,0.156,,,,
2023-11-20,,22.58,,20.64,39.01,22.58,128.417824
2023-11-22,,,0.158,,,,
2023-11-27,,21.94,,20.23,38.39,21.94,124.615257
2023-11-29,,,0.158,,,,
2023-12-04,,21.94,,19.73,37.77,21.94,122.3
2023-12-06,,,0.154,,,,
2023-12-11,,21.2,,18.99,37.77,21.2,120.480413
2023-12-13,,,0.147,,,,
2023-12-18,,20.06,,18.68,37.77,20.06,119.91
2023-12-20,,,0.141,,,,
2023-12-25,,19.37,,18.33,37.15,19.37,121.492525
2023-12-27,,,0.134,,,,
2024-01-03,,,0.134,,,,
2024-01-08,,19.1,,17.64,36.53,19.1,128.501514
2024-01-10,,,0.134,,,,
2024-01-15,,19.1,,17.67,35.91,19.1,133.703112
2024-01-17,,,0.134,,,,
2024-01-22,,19.15,,17.83,35.91,19.15,135.526708
2024-01-24,,,0.137,,,,
2024-01-29,,19.15,,17.77,35.91,19.15,132.098649
2024-01-31,,,0.137,,,,
2024-02-05,,19.43,,17.99,37.15,19.43,125.794034
2024-02-07,,,0.137,,,,
2024-02-14,,,0.137,,,,
2024-02-21,,,0.137,,,,
2024-02-26,,19.43,,18.07,37.77,19.43,127.806677
2024-02-28,,,0.137,,,,
2024-03-04,,19.43,,18.07,37.77,19.43,131.098313
2024-03-06,,,0.137,,,,
2024-03-11,,19.43,,18.07,37.77,19.43,144.347412
2024-03-13,,,0.134,,,,
2024-03-18,,19.15,,18.0,37.77,19.15,138.793862
2024-03-20,,,0.131,,,,
2024-03-25,,18.63,,17.77,37.77,18.63,137.11
2024-03-27,,,0.119,,,,
2024-04-03,,,0.113,,,,
2024-04-08,,17.99,,17.09,35.91,17.99,134.55
2024-04-10,,,0.112,,,,
2024-04-15,,17.44,,16.45,32.2,17.44,130.600831
2024-04-17,,,0.111,,,,
2024-04-22,,17.44,,16.1,29.72,17.44,126.823378
2024-04-24,,,0.11,,,,
2024-04-29,,17.16,,15.68,27.86,17.16,129.579369
2024-05-01,,,0.107,,,,
2024-05-08,,,0.105,,,,
2024-05-13,,16.61,,15.09,26.01,16.61,128.382204
2024-05-15,,,0.095,,,,
2024-05-20,,16.12,,14.77,25.39,16.12,124.156703
2024-05-22,,,0.086,,,,
2024-05-27,,15.01,,14.27,24.77,15.01,127.780636
2024-05-29,,,0.084,,,,
2024-06-03,,14.74,,14.07,24.15,14.74,129.065235
2024-06-05,,,0.083,,,,
2024-06-11,,14.74,,13.98,23.53,14.74,124.928504
2024-06-12,,,0.083,,,,
2024-06-17,,14.74,,13.98,23.53,14.74,123.48788
2024-06-19,,,0.083,,,,
2024-06-25,,14.74,,13.87,22.91,14.74,121.000444
2024-06-26,,,0.083,,,,
2024-07-01,,14.74,,13.87,22.91,14.74,119.704582
2024-07-03,,,0.083,,,,
2024-07-09,,14.74,,13.63,22.29,14.74,115.483321
2024-07-10,,,0.083,,,,
2024-07-15,,14.74,,13.63,22.29,14.74,118.864991
2024-07-17,,,0.083,,,,
2024-07-22,,14.74,,13.58,22.29,14.74,125.047545
2024-07-24,,,0.083,,,,
2024-07-29,,14.74,,13.56,22.29,14.74,125.411057
2024-07-31,,,0.083,,,,
2024-08-05,,14.74,,13.56,22.29,14.74,124.1988
2024-08-07,,,0.084,,,,
2024-08-12,,14.74,,13.56,22.29,14.74,126.701526
2024-08-14,,,0.084,,,,
2024-08-19,,14.74,,13.56,22.29,14.74,123.255526
2024-08-21,,,0.084,,,,
2024-08-26,,14.74,,13.46,22.29,14.74,125.258479
2024-08-28,,,0.084,,,,
2024-09-02,,14.74,,,,,
