指标名称,中国:限额以上企业商品零售额:家用电器和音像器材类:当月同比,中国:产量:空调:当月值,中国:产量:空调:当月同比,中国:产量:家用电冰箱:当月值,中国:产量:家用电冰箱:当月同比,中国:产量:家用洗衣机:当月值,中国:产量:家用洗衣机:当月同比,中国:产量:彩电:当月值,中国:产量:彩电:当月同比
2023/9/30,-2.3,1611.4,-9.7,885.1,13.2,1035,24.2,1801.1,-14.1
2023/10/31,9.6,1373,-0.5,827.2,20.3,1005.7,14.5,1629.5,-14.8
2023/11/30,2.7,1595.7,12.8,828.6,20.4,1025.3,13.4,1582.6,-11.6
2023/12/31,-0.1,2152.9337,26.9,817.2638,14.6,923.4243,11.9,1688.6744,-2.1
2024/2/29,5.7,,,,,,,,
2024/3/31,5.8,3083.3,13.2,993.4,13.2,932.4,5.9,1792.2,-3
2024/4/30,4.5,3033.1,20,933.6,15.4,944.3,2.3,1731.6,-0.4
2024/5/31,12.9,2905,12.9,893.2,5.2,927.4,4.2,1695.7,0
2024/6/30,-7.6,2805.2978,5.7,871.774,0.1,815.6685,-3.6,1799.6092,8.1
2024/7/31,-2.4,2020.0778,-12.9,830.4264,-3,845.5898,13.8,1680.0847,3.5
