指标名称,半导体:销售额:合计:当月同比,半导体:销售额:合计:当月值,半导体:销售额:中国:当月同比,半导体:销售额:中国:当月值
2015/8/31,-3,29.61,,8.5
2015/9/30,-2.8,30.17,,8.73
2015/10/31,-2.5,30.74,,8.86
2015/11/30,-3,30.65,,8.95
2015/12/31,-5.2,29.3,,8.73
2016/1/31,-5.8,28.51,,8.7
2016/2/29,-6.2,27.6,,8.31
2016/3/31,-5.8,27.68,1.5,8.22
2016/4/30,-6.2,27.4,0.4,8.06
2016/5/31,-7.7,27.51,0.1,8.36
2016/6/30,-5.8,27.81,2,8.57
2016/7/31,-2.8,28.53,5.3,8.9
2016/8/31,0.5,29.9,9.2,9.29
2016/9/30,3.6,31.16,12.1,9.78
2016/10/31,5.1,32.22,14,10.1
2016/11/30,7.4,32.86,15.8,10.37
2016/12/31,12.3,32.86,20.4,10.5
2017/1/31,13.9,32.47,20.7,10.49
2017/2/28,16.5,32.21,25,10.37
2017/3/31,18.1,32.73,26.5,10.38
2017/4/30,20.9,33.16,29.7,10.44
2017/5/31,22.6,33.79,26.7,10.58
2017/6/30,23.7,34.47,25.5,10.74
2017/7/31,24,35.54,24,11.03
2017/8/31,23.9,36.96,23.2,11.44
2017/9/30,22.2,37.99,20,11.73
2017/10/31,21.9,39.21,19.1,12.04
2017/11/30,21.5,39.84,18.5,12.29
2017/12/31,22.5,40.16,18.1,12.4
2018/1/31,22.7,39.76,18.2,12.4
2018/2/28,21,38.89,16.4,12.08
2018/3/31,20,39.16,18.8,12.35
2018/4/30,20.2,39.71,22.1,12.75
2018/5/31,21,40.9,28.5,13.55
2018/6/30,20.5,41.51,30.7,13.98
2018/7/31,17.4,41.68,29.4,14.22
2018/8/31,14.9,42.39,27.3,14.52
2018/9/30,13.8,43.24,26.3,14.78
2018/10/31,12.7,43.67,23.3,14.72
2018/11/30,9.8,43.19,17.4,14.32
2018/12/31,0.6,40.17,5.8,13.16
2019/1/31,-5.7,37.28,-3.2,12.04
2019/2/28,-10.6,34.56,-8.5,11.1
2019/3/31,-13,33.94,-9.4,11.24
2019/4/30,-14.6,33.8,-10.9,11.44
2019/5/31,-14.6,34.44,-9.8,12.06
2019/6/30,-16.8,34.13,-13.9,11.88
2019/7/31,-15.5,34.71,-14.1,12.01
2019/8/31,-15.9,35.58,-15.7,12.23
2019/9/30,-14.6,36.79,-12.9,12.77
2019/10/31,-13.1,37.86,-10.2,13.14
2019/11/30,-10.8,37.75,-6,13.14
2019/12/31,-5.5,37.11,0.8,12.94
2020/1/31,-0.3,36.29,5.2,12.38
2020/2/29,5,35.42,5.5,11.45
2020/3/31,6.9,35.74,4.5,11.43
2020/4/30,6.1,35.31,4.4,11.67
2020/5/31,5.8,35.84,4.9,12.35
2020/6/30,5.1,35.73,4.7,12.3
2020/7/31,4.9,36.48,3.5,12.36
2020/8/31,4.9,37.79,3,12.72
2020/9/30,5.8,39.49,6.5,13.72
2020/10/31,6,40.71,6.3,14.12
2020/11/30,7,41.16,6.5,14.13
2020/12/31,8.3,40.34,4.4,13.49
2021/1/31,13.2,40.03,12.4,13.69
2021/2/28,14.7,39.64,18.9,13.66
2021/3/31,17.8,41.11,25.6,14.35
2021/4/30,21.7,42.05,25.7,14.77
2021/5/31,26.2,43.9,26.1,15.61
2021/6/30,29.2,44.85,28.3,15.79
2021/7/31,29,45.67,28.9,15.96
2021/8/31,29.7,47.32,30.8,16.57
2021/9/30,27.6,48.48,24,16.86
2021/10/31,24,49.14,21.1,16.95
2021/11/30,23.5,50.09,21.4,17.02
2021/12/31,28.3,50.85,29.2,17.16
2022/1/31,26.8,50.74,24.4,17.04
2022/2/28,32.4,50.04,21.8,16.67
2022/3/31,23,50.58,17.3,16.83
2022/4/30,21.1,50.94,13.3,16.67
2022/5/31,18,51.65,9.1,16.87
2022/6/30,13.3,50.17,4.7,16.24
2022/7/31,7.3,49,-1.8,15.67
2022/8/31,0.1,47.24,-10,14.87
2022/9/30,-3,47,-14.4,14.41
2022/10/31,-4.6,46.94,-16.2,14.2
2022/11/30,-9.2,45.58,-21.2,13.44
2022/12/31,-14.7,43.61,-26.4,12.68
2023/1/31,-18.5,41.33,-31.6,11.66
2023/2/28,-20.7,39.7,-34.2,10.97
2023/3/31,-21.3,39.83,-34.1,11.1
2023/4/30,-21.6,40.04,-31.4,11.45
2023/5/31,-21.1,41.18,-29.5,12
2023/6/30,-17.3,42.23,-24.4,12.42
2023/7/31,-11.8,43.22,-18.7,12.74
2023/8/31,-6.8,44.04,-12.6,12.99
2023/9/30,-4.5,44.89,-9.4,13.05
2023/10/31,-0.7,46.62,-2.5,13.85
2023/11/30,5.3,47.98,7.6,14.46
2023/12/31,11.6,48.66,19.4,15.14
2024/1/31,15.2,47.63,26.6,14.76
2024/2/29,16.3,46.17,28.8,14.13
2024/3/31,15.2,45.91,27.4,14.14
2024/4/30,15.8,47.21,23.4,14.2
2024/5/31,19.3,49.12,24.2,14.97
2024/6/30,18.3,49.98,21.6,15.09
,,,,
数据来源：Wind,,,,
