指标名称,中国:出货量:智能手机:当月值,中国:出货量:手机:当月值,中国:36个大中城市:日用工业消费品平均价格:手机(彩屏带摄像头)
2023-05-31,2519.6,2603.7,2215.97
2023-06-30,2086.3,2214.9,2200.54
2023-07-31,1728.7,1855.2,2187.82
2023-08-31,1792.6,1898.5,2186.55
2023-09-30,3193.4,3327.7,2165.48
2023-10-31,2818.1,2916.2,2155.84
2023-11-30,2958.6,3121.1,2181.32
2023-12-31,2683.6,2827.5,2180.45
2024-01-31,2951.3,3177.8,2218.65
2024-02-29,1404.2,1425.7,2236.75
2024-03-31,2021.8,2138.0,2233.97
2024-04-30,2266.8,2407.1,
2024-05-31,2860.0,3032.9,
2024-06-30,2384.1,2491.2,
2024-07-31,2217.4,2420.4,

数据来源：Wind











































































































































































































































































































































































































































































































