,AL.SHF_open,AL.SHF_high,AL.SHF_low,AL.SHF_close,AL.SHF_volume
2012-04-23,16105.0,16120.0,16080.0,16090.0,6264.0
2012-04-24,16050.0,16170.0,16050.0,16145.0,15748.0
2012-04-25,16155.0,16170.0,16130.0,16145.0,9356.0
2012-04-26,16155.0,16180.0,16135.0,16180.0,4878.0
2012-04-27,16195.0,16200.0,16160.0,16175.0,5462.0
2012-05-02,16200.0,16295.0,16200.0,16295.0,7576.0
2012-05-03,16250.0,16355.0,16250.0,16285.0,11594.0
2012-05-04,16305.0,16350.0,16300.0,16335.0,15132.0
2012-05-07,16280.0,16295.0,16240.0,16275.0,15770.0
2012-05-08,16300.0,16300.0,16235.0,16240.0,13896.0
2012-05-09,16200.0,16205.0,16135.0,16150.0,25240.0
2012-05-10,16150.0,16170.0,16120.0,16145.0,15880.0
2012-05-11,16120.0,16130.0,16045.0,16065.0,19688.0
2012-05-14,16090.0,16150.0,15960.0,15990.0,16250.0
2012-05-15,15960.0,16020.0,15920.0,16010.0,19440.0
2012-05-16,15970.0,16020.0,15900.0,15900.0,14026.0
2012-05-17,15970.0,16080.0,15950.0,16040.0,12118.0
2012-05-18,16020.0,16065.0,16000.0,16020.0,8332.0
2012-05-21,16045.0,16145.0,16045.0,16125.0,8606.0
2012-05-22,16100.0,16120.0,16050.0,16050.0,5590.0
2012-05-23,16010.0,16010.0,15970.0,16000.0,7766.0
2012-05-24,15950.0,15980.0,15935.0,15960.0,5786.0
2012-05-25,15980.0,16025.0,15970.0,16025.0,11520.0
2012-05-28,16030.0,16050.0,16020.0,16045.0,11726.0
2012-05-29,16035.0,16055.0,16005.0,16030.0,8642.0
2012-05-30,16000.0,16010.0,15980.0,15980.0,8938.0
2012-05-31,15945.0,15975.0,15925.0,15965.0,10950.0
2012-06-01,15960.0,15970.0,15930.0,15935.0,9348.0
2012-06-04,15850.0,15880.0,15800.0,15865.0,21852.0
2012-06-05,15910.0,15960.0,15910.0,15945.0,9576.0
2012-06-06,15955.0,15955.0,15875.0,15915.0,7990.0
2012-06-07,15900.0,15960.0,15860.0,15890.0,8764.0
2012-06-08,15895.0,15900.0,15850.0,15865.0,6402.0
2012-06-11,15925.0,15945.0,15880.0,15925.0,7440.0
2012-06-12,15845.0,15885.0,15825.0,15865.0,6636.0
2012-06-13,15860.0,15900.0,15855.0,15900.0,2246.0
2012-06-14,15855.0,15880.0,15835.0,15865.0,6686.0
2012-06-15,15860.0,15880.0,15850.0,15875.0,5250.0
2012-06-18,15885.0,15900.0,15800.0,15800.0,7538.0
2012-06-19,15755.0,15800.0,15615.0,15650.0,10860.0
2012-06-20,15690.0,15775.0,15640.0,15755.0,14146.0
2012-06-21,15655.0,15695.0,15545.0,15560.0,15800.0
2012-06-25,15510.0,15620.0,15510.0,15520.0,6370.0
2012-06-26,15530.0,15540.0,14990.0,15065.0,109300.0
2012-06-27,15060.0,15140.0,14925.0,15060.0,129788.0
2012-06-28,15160.0,15390.0,15150.0,15360.0,105826.0
2012-06-29,15310.0,15480.0,15210.0,15390.0,83786.0
2012-07-02,15550.0,15560.0,15405.0,15440.0,50252.0
2012-07-03,15465.0,15525.0,15390.0,15500.0,66340.0
2012-07-04,15595.0,15685.0,15560.0,15645.0,56714.0
2012-07-05,15645.0,15790.0,15600.0,15680.0,48964.0
2012-07-06,15640.0,15690.0,15540.0,15605.0,38878.0
2012-07-09,15480.0,15590.0,15470.0,15535.0,27168.0
2012-07-10,15585.0,15645.0,15515.0,15520.0,18886.0
2012-07-11,15500.0,15545.0,15460.0,15505.0,17730.0
2012-07-12,15485.0,15535.0,15465.0,15470.0,16434.0
2012-07-13,15450.0,15530.0,15425.0,15520.0,18602.0
2012-07-16,15570.0,15630.0,15555.0,15605.0,15068.0
2012-07-17,15615.0,15625.0,15570.0,15580.0,9610.0
2012-07-18,15575.0,15585.0,15510.0,15565.0,11066.0
2012-07-19,15585.0,15625.0,15540.0,15615.0,10520.0
2012-07-20,15650.0,15660.0,15585.0,15590.0,12552.0
2012-07-23,15500.0,15505.0,15325.0,15355.0,18058.0
2012-07-24,15310.0,15425.0,15305.0,15400.0,7920.0
2012-07-25,15345.0,15360.0,15200.0,15260.0,13442.0
2012-07-26,15260.0,15380.0,15260.0,15350.0,10848.0
2012-07-27,15370.0,15460.0,15340.0,15445.0,17014.0
2012-07-30,15485.0,15485.0,15385.0,15410.0,11824.0
2012-07-31,15410.0,15465.0,15410.0,15450.0,8906.0
2012-08-01,15385.0,15420.0,15360.0,15385.0,9344.0
2012-08-02,15305.0,15330.0,15275.0,15315.0,18344.0
2012-08-03,15215.0,15300.0,15200.0,15295.0,18888.0
2012-08-06,15400.0,15500.0,15315.0,15325.0,14312.0
2012-08-07,15385.0,15390.0,15315.0,15330.0,10998.0
2012-08-08,15435.0,15435.0,15385.0,15385.0,11948.0
2012-08-09,15445.0,15470.0,15415.0,15470.0,8926.0
2012-08-10,15445.0,15450.0,15360.0,15400.0,9684.0
2012-08-13,15380.0,15400.0,15355.0,15370.0,8808.0
2012-08-14,15340.0,15390.0,15310.0,15360.0,12116.0
2012-08-15,15350.0,15365.0,15315.0,15345.0,7034.0
2012-08-16,15270.0,15300.0,15200.0,15200.0,19350.0
2012-08-17,15235.0,15295.0,15235.0,15295.0,9178.0
2012-08-20,15270.0,15325.0,15185.0,15230.0,10382.0
2012-08-21,15195.0,15260.0,15195.0,15250.0,6704.0
2012-08-22,15300.0,15310.0,15235.0,15270.0,7954.0
2012-08-23,15310.0,15370.0,15310.0,15360.0,9220.0
2012-08-24,15380.0,15385.0,15330.0,15355.0,6748.0
2012-08-27,15420.0,15470.0,15360.0,15380.0,6636.0
2012-08-28,15380.0,15430.0,15365.0,15400.0,7238.0
2012-08-29,15410.0,15430.0,15380.0,15420.0,6468.0
2012-08-30,15390.0,15430.0,15370.0,15415.0,5920.0
2012-08-31,15370.0,15375.0,15320.0,15365.0,3258.0
2012-09-03,15390.0,15435.0,15375.0,15430.0,4602.0
2012-09-04,15480.0,15500.0,15450.0,15490.0,6854.0
2012-09-05,15490.0,15510.0,15440.0,15500.0,22454.0
2012-09-06,15570.0,15640.0,15545.0,15640.0,23654.0
2012-09-07,15600.0,15650.0,15570.0,15645.0,20486.0
2012-09-10,15780.0,15785.0,15715.0,15780.0,20410.0
2012-09-11,15760.0,15820.0,15710.0,15770.0,20422.0
2012-09-12,15770.0,15810.0,15770.0,15795.0,13654.0
2012-09-13,15780.0,15805.0,15700.0,15710.0,12582.0
2012-09-14,15990.0,15990.0,15805.0,15890.0,30832.0
2012-09-17,15990.0,15990.0,15825.0,15835.0,15612.0
2012-09-18,15800.0,15825.0,15740.0,15765.0,10466.0
2012-09-19,15765.0,15855.0,15760.0,15855.0,9462.0
2012-09-20,15790.0,15810.0,15685.0,15700.0,13792.0
2012-09-21,15725.0,15765.0,15715.0,15740.0,8786.0
2012-09-24,15725.0,15725.0,15650.0,15665.0,8896.0
2012-09-25,15655.0,15680.0,15620.0,15640.0,7418.0
2012-09-26,15635.0,15725.0,15610.0,15685.0,10320.0
2012-09-27,15630.0,15735.0,15630.0,15695.0,5878.0
2012-09-28,15695.0,15780.0,15695.0,15760.0,10234.0
2012-10-08,15715.0,15740.0,15615.0,15650.0,6932.0
2012-10-09,15685.0,15695.0,15605.0,15605.0,6928.0
2012-10-10,15565.0,15600.0,15535.0,15540.0,7898.0
2012-10-11,15490.0,15560.0,15480.0,15490.0,9836.0
2012-10-12,15530.0,15535.0,15445.0,15460.0,7810.0
2012-10-15,15425.0,15480.0,15425.0,15460.0,4740.0
2012-10-16,15420.0,15475.0,15420.0,15460.0,3912.0
2012-10-17,15455.0,15465.0,15430.0,15455.0,4238.0
2012-10-18,15510.0,15520.0,15480.0,15510.0,4660.0
2012-10-19,15510.0,15515.0,15475.0,15480.0,4192.0
2012-10-22,15430.0,15470.0,15420.0,15435.0,4504.0
2012-10-23,15425.0,15430.0,15370.0,15370.0,5208.0
2012-10-24,15395.0,15410.0,15375.0,15400.0,2976.0
2012-10-25,15385.0,15410.0,15385.0,15385.0,2610.0
2012-10-26,15370.0,15375.0,15305.0,15330.0,5296.0
2012-10-29,15320.0,15385.0,15320.0,15355.0,4932.0
2012-10-30,15295.0,15295.0,15240.0,15265.0,7062.0
2012-10-31,15295.0,15320.0,15275.0,15320.0,4016.0
2012-11-01,15280.0,15315.0,15260.0,15310.0,3084.0
2012-11-02,15380.0,15380.0,15335.0,15360.0,4618.0
2012-11-05,15320.0,15320.0,15275.0,15290.0,5644.0
2012-11-06,15310.0,15310.0,15285.0,15300.0,4502.0
2012-11-07,15325.0,15335.0,15300.0,15335.0,5736.0
2012-11-08,15280.0,15285.0,15265.0,15280.0,3510.0
2012-11-09,15280.0,15285.0,15230.0,15240.0,6000.0
2012-11-12,15225.0,15240.0,15170.0,15230.0,6100.0
2012-11-13,15305.0,15420.0,15240.0,15265.0,16522.0
2012-11-14,15315.0,15350.0,15290.0,15330.0,13526.0
2012-11-15,15305.0,15415.0,15280.0,15400.0,10142.0
2012-11-16,15385.0,15400.0,15355.0,15385.0,4634.0
2012-11-19,15395.0,15395.0,15325.0,15335.0,3666.0
2012-11-20,15370.0,15375.0,15290.0,15305.0,6592.0
2012-11-21,15305.0,15310.0,15275.0,15280.0,3254.0
2012-11-22,15255.0,15290.0,15250.0,15290.0,3658.0
2012-11-23,15275.0,15290.0,15255.0,15280.0,3606.0
2012-11-26,15325.0,15345.0,15310.0,15320.0,6376.0
2012-11-27,15360.0,15360.0,15305.0,15315.0,5026.0
2012-11-28,15345.0,15345.0,15310.0,15310.0,5454.0
2012-11-29,15320.0,15330.0,15310.0,15310.0,3768.0
2012-11-30,15380.0,15410.0,15345.0,15410.0,10956.0
2012-12-03,15395.0,15410.0,15360.0,15360.0,6208.0
2012-12-04,15380.0,15385.0,15295.0,15300.0,9084.0
