指标名称,光伏行业综合价格指数(SPI),光伏行业综合价格指数(SPI):多晶硅,光伏行业综合价格指数(SPI):硅片,光伏经理人指数(SMI):全行业
2017-08-04,73.97,82.97,74.85,85.151133
2017-08-11,73.13,77.74,75.77,83.995045
2017-08-18,73.49,79.29,75.77,83.67
2017-08-25,74.04,80.84,76.7,83.108624
2017-09-01,74.73,86.62,77.36,82.479394
2017-09-08,74.75,86.69,77.36,83.504327
2017-09-15,75.44,89.78,77.36,88.541728
2017-09-22,74.32,91.33,76.28,90.856745
2017-09-26,75.3,91.33,76.28,
2017-09-29,75.28,91.33,76.2,90.389905
2017-10-10,75.37,91.02,76.2,
2017-10-13,75.38,91.33,76.2,91.626283
2017-10-18,75.51,91.95,76.2,
2017-10-20,75.47,91.95,76.03,89.108576
2017-10-24,74.89,92.8,73.79,
2017-10-27,74.63,92.88,73.79,90.773817
2017-10-31,74.62,92.83,73.79,
2017-11-02,74.6,92.77,73.79,
2017-11-03,,,,91.930808
2017-11-07,74.04,92.88,73.79,
2017-11-10,73.96,92.88,73.79,95.954216
2017-11-13,,,,95.954216
2017-11-14,74.35,92.88,73.79,
2017-11-17,74.35,92.88,73.79,95.687293
2017-11-21,74.35,92.88,73.79,
2017-11-24,74.33,92.74,73.79,95.406592
2017-11-29,74.08,92.88,73.79,
2017-12-01,74.02,92.85,73.79,93.985249
2017-12-05,74.04,92.91,73.79,
2017-12-08,73.9,92.89,73.79,92.427622
2017-12-12,73.89,92.87,73.79,
2017-12-15,73.73,92.88,73.13,93.310886
2017-12-19,73.68,92.88,73.13,
2017-12-22,73.14,92.88,72.91,96.436913
2017-12-26,71.54,92.88,68.09,
2017-12-29,71.02,92.88,68.09,94.82565
2018-01-02,70.7,92.98,68.04,
2018-01-05,70.3,92.88,67.54,93.469443
2018-01-09,70.17,92.88,67.54,
2018-01-12,70.02,92.88,67.46,91.65814
2018-01-16,69.38,92.88,67.32,
2018-01-19,68.91,92.88,67.08,89.362016
2018-01-23,68.17,92.88,65.47,
2018-01-26,66.85,92.68,63.54,87.061482
2018-01-30,66.28,92.88,62.05,
2018-02-01,65.74,92.31,61.31,
2018-02-02,,,,85.794244
2018-02-06,64.63,92.26,59.21,
2018-02-09,64.47,91.33,59.21,84.667719
2018-02-16,,,,85.006969
2018-02-23,,,,84.501744
2018-02-24,63.18,88.23,57.14,
2018-02-27,62.78,86.65,57.14,
2018-03-02,61.73,82.14,56.73,85.4619
2018-03-06,61.6,82.04,56.32,
2018-03-09,61.49,82.03,55.9,84.31233
2018-03-13,61.46,82.04,55.79,
2018-03-16,60.9,80.5,55.63,84.894202
2018-03-20,61.21,82.04,55.71,
2018-03-23,61.21,82.04,55.68,84.331452
2018-03-27,61.36,82.04,55.68,
2018-03-30,61.49,82.04,55.68,84.377565
2018-04-03,61.48,82.04,55.66,
2018-04-06,,,,85.204983
2018-04-08,61.48,82.04,55.66,
2018-04-10,61.6,82.66,55.66,
2018-04-13,61.54,82.66,55.43,85.420703
2018-04-17,61.54,82.66,55.43,
2018-04-20,61.49,82.66,55.28,87.439317
2018-04-24,61.51,82.66,55.35,
2018-04-27,61.51,83.28,54.52,86.51779
2018-05-04,61.17,83.59,53.61,85.902699
2018-05-08,60.84,83.59,52.45,
2018-05-11,60.84,83.59,52.45,85.827341
2018-05-15,60.72,83.59,52.04,
2018-05-18,60.27,83.59,51.46,84.876721
2018-05-22,60.13,83.59,51.46,
2018-05-25,59.39,83.59,49.53,84.114208
2018-06-01,58.59,80.5,48.7,81.705603
2018-06-08,54.73,75.85,45.12,72.82069
2018-06-12,53.83,73.98,44.4,
2018-06-15,50.34,68.0,40.43,73.053175
2018-06-22,49.41,64.82,40.21,74.982244
2018-06-29,47.66,63.5,38.23,74.237875
2018-07-06,46.63,62.63,38.31,
2018-07-13,46.83,62.58,38.64,71.32
2018-07-20,46.79,62.58,38.73,72.346217
2018-07-27,46.44,62.58,38.03,73.377037
2018-08-03,45.66,62.85,38.44,73.974483
2018-08-10,45.39,62.85,38.44,72.540291
2018-08-17,45.09,62.85,38.44,71.934194
2018-08-24,44.66,62.85,38.44,71.328097
2018-08-31,44.12,62.85,37.37,72.62
2018-09-07,43.56,61.61,36.96,73.39
2018-09-14,43.3,61.3,36.87,73.31
2018-09-21,42.8,59.44,36.71,73.23
2018-09-28,42.25,58.2,36.21,73.23
2018-10-12,41.62,56.66,35.66,73.22
2018-10-19,41.4,55.73,35.61,74.36
2018-10-26,40.96,54.8,34.75,75.03
2018-11-02,40.79,53.87,34.72,75.48
2018-11-09,40.73,53.56,34.72,79.19
2018-11-16,40.58,53.25,34.38,79.22
2018-11-23,40.59,53.25,34.34,79.82
2018-11-30,40.39,52.01,34.34,80.62
2018-12-07,40.29,51.39,34.34,83.36
2018-12-14,40.17,50.77,34.34,83.66
2018-12-21,40.17,50.77,34.34,85.05
2018-12-28,40.21,50.77,34.34,85.08
2019-01-04,39.96,49.54,34.34,84.88
2019-01-11,39.96,49.54,34.34,86.873092
2019-01-18,39.94,49.54,34.34,87.82
2019-01-25,40.05,49.54,34.67,89.67
2019-02-01,40.22,49.54,35.02,91.872535
2019-02-15,40.4,50.15,35.21,90.725032
2019-02-22,40.64,50.15,35.43,92.01
2019-03-01,40.6,50.15,35.43,87.41
2019-03-08,40.6,50.15,35.43,83.72
2019-03-15,40.35,50.15,35.15,85.62
2019-03-22,40.31,50.15,35.02,83.07
2019-03-29,35.69,48.3,33.61,81.872297
2019-04-04,35.54,47.99,33.33,82.22
2019-04-12,35.38,47.37,33.16,83.17
2019-04-19,35.38,47.37,33.16,83.48
2019-04-26,35.5,47.68,33.16,83.65
2019-05-10,35.52,47.68,33.16,84.61
2019-05-17,35.48,47.68,33.03,86.09
2019-05-24,35.48,47.68,33.03,86.16
2019-05-31,35.65,47.68,33.03,87.246116
2019-06-06,35.66,47.68,33.03,83.618682
2019-06-14,35.66,47.68,33.03,83.13
2019-06-21,35.66,47.68,33.03,84.52
2019-06-28,36.02,47.99,32.96,79.733935
2019-07-05,35.78,47.99,32.8,81.340631
2019-07-12,35.66,47.99,32.78,81.69
2019-07-19,35.59,47.99,32.78,82.66
2019-07-26,34.96,47.99,32.61,83.220187
2019-08-02,34.77,47.99,32.38,82.615838
2019-08-09,34.69,47.68,32.3,82.838933
2019-08-16,34.63,47.68,32.3,80.585557
2019-08-23,34.63,47.68,32.3,83.463171
2019-08-30,34.51,47.68,32.3,80.012582
2019-09-06,34.49,47.68,32.37,81.267322
2019-09-12,34.44,47.68,32.38,82.364732
2019-09-20,34.42,47.68,32.4,82.710116
2019-09-27,34.49,47.68,32.78,82.354503
2019-10-11,34.44,47.68,32.74,80.382394
2019-10-18,34.15,47.68,32.74,77.445971
2019-10-25,33.82,47.68,32.57,76.943021
2019-11-01,33.38,47.68,32.17,75.973379
2019-11-08,32.62,47.68,32.02,75.470829
2019-11-15,32.27,47.37,31.89,74.374445
2019-11-22,32.2,47.06,31.87,74.902281
2019-11-29,31.65,45.2,31.34,74.917158
2019-12-06,31.38,44.58,30.88,75.322908
2019-12-13,30.92,44.27,30.59,75.61348
2019-12-20,30.86,44.27,30.34,75.621948
2019-12-27,30.56,44.27,30.06,76.34693
