date,产量:PTA:国内,开工率:PTA:国内,开工率:PX:国内
2022-06-27,,,81.0
2022-06-28,,,82.49
2022-06-29,,,82.49
2022-06-30,,,80.52
2022-07-01,,,76.49
2022-07-03,108.57,77.67,
2022-07-04,,,76.11
2022-07-05,,,76.11
2022-07-06,,,76.11
2022-07-07,,,77.69
2022-07-08,,,77.69
2022-07-10,106.88,76.46,
2022-07-11,,,78.15
2022-07-12,,,79.15
2022-07-13,,,79.15
2022-07-14,,,79.15
2022-07-15,,,79.15
2022-07-17,106.74,76.36,
2022-07-18,,,75.13
2022-07-19,,,75.13
2022-07-20,,,74.85
2022-07-21,,,74.85
2022-07-22,,,74.85
2022-07-24,100.53,71.92,
2022-07-25,,,75.22
2022-07-26,,,75.22
2022-07-27,,,76.54
2022-07-28,,,76.11
2022-07-29,,,76.11
2022-07-31,99.03,70.66,
2022-08-01,,,77.65
2022-08-02,,,77.65
2022-08-03,,,77.17
2022-08-04,,,73.49
2022-08-05,,,73.49
2022-08-07,94.16,67.36,
2022-08-08,,,73.49
2022-08-09,,,73.49
2022-08-10,,,73.49
2022-08-11,,,73.49
2022-08-12,,,81.82
2022-08-14,94.59,67.67,
2022-08-15,,,81.82
2022-08-16,,,81.82
2022-08-17,,,81.94
2022-08-18,,,81.94
2022-08-19,,,81.94
2022-08-21,95.05,68.0,
2022-08-22,,,81.94
2022-08-23,,,81.94
2022-08-24,,,81.24
2022-08-25,,,81.24
2022-08-26,,,81.24
2022-08-28,98.95,71.08,
2022-08-29,,,79.61
2022-08-30,,,76.18
2022-08-31,,,76.18
2022-09-01,,,74.92
2022-09-02,,,74.92
2022-09-04,100.06,71.58,
2022-09-05,,,74.92
2022-09-06,,,77.5
2022-09-07,,,77.5
2022-09-08,,,77.5
2022-09-09,,,77.5
2022-09-11,94.89,67.88,
2022-09-13,,,78.35
2022-09-14,,,78.35
2022-09-15,,,80.68
2022-09-16,,,80.68
2022-09-18,94.93,67.91,
2022-09-19,,,80.68
2022-09-20,,,78.67
2022-09-21,,,78.67
2022-09-22,,,79.12
2022-09-23,,,79.12
2022-09-25,98.69,70.6,
2022-09-26,,,77.65
2022-09-27,,,77.65
2022-09-28,,,77.65
2022-09-29,,,77.65
2022-09-30,,,77.65
2022-10-02,102.71,73.48,
2022-10-08,,,79.36
2022-10-09,,,79.36
2022-10-10,,,79.36
2022-10-11,,,79.36
2022-10-12,,,79.36
2022-10-13,,,79.36
2022-10-14,,,79.36
2022-10-16,106.65,76.33,
2022-10-17,,,79.36
2022-10-18,,,79.36
2022-10-19,,,79.36
2022-10-20,,,79.36
2022-10-21,,,79.92
2022-10-23,105.26,75.31,
2022-10-24,,,79.92
2022-10-25,,,79.92
2022-10-26,,,79.92
2022-10-27,,,77.87
2022-10-28,,,77.87
2022-10-30,106.48,76.18,
2022-10-31,,,77.87
2022-11-01,,,77.84
2022-11-02,,,77.84
2022-11-03,,,76.08
2022-11-04,,,76.08
2022-11-06,103.65,74.15,
2022-11-07,,,76.08
2022-11-08,,,76.08
2022-11-09,,,76.08
2022-11-10,,,72.56
2022-11-11,,,72.56
2022-11-13,102.47,73.31,
2022-11-14,,,72.56
2022-11-15,,,76.11
2022-11-16,,,76.11
2022-11-17,,,76.11
2022-11-18,,,76.11
2022-11-20,102.33,73.21,
2022-11-21,,,76.11
2022-11-22,,,76.11
2022-11-23,,,76.11
2022-11-24,,,75.61
2022-11-25,,,75.61
2022-11-27,102.4,73.26,
2022-11-28,,,75.61
2022-11-29,,,75.61
2022-11-30,,,75.61
2022-12-01,,,74.59
2022-12-02,,,74.59
2022-12-04,99.31,71.05,
2022-12-05,,,74.42
2022-12-06,,,74.42
2022-12-07,,,74.42
2022-12-08,,,74.42
2022-12-09,,,74.42
2022-12-11,93.36,66.79,
2022-12-12,,,74.11
2022-12-13,,,74.11
2022-12-14,,,74.11
2022-12-15,,,74.11
2022-12-16,,,74.11
2022-12-18,90.9,65.03,
2022-12-19,,,72.93
2022-12-20,,,72.93
2022-12-21,,,70.95
2022-12-22,,,70.95
2022-12-23,,,70.95
2022-12-25,92.62,65.75,
2022-12-26,,,70.95
2022-12-27,,,70.95
2022-12-28,,,67.74
2022-12-29,,,67.74
2023-01-01,89.44,61.94,
2023-01-03,,,67.74
2023-01-05,,,74.4
2023-01-06,,,74.4
2023-01-08,91.03,64.36,
2023-01-09,,,72.59
2023-01-10,,,72.59
2023-01-11,,,72.59
2023-01-12,,,72.59
2023-01-13,,,72.59
2023-01-15,97.74,69.56,
2023-01-16,,,73.38
2023-01-17,,,73.38
2023-01-18,,,73.38
2023-01-19,,,73.38
2023-01-20,,,73.38
2023-01-22,95.78,68.17,
2023-01-28,,,74.43
2023-01-30,,,74.43
2023-01-31,,,74.43
2023-02-01,,,75.92
2023-02-02,,,75.92
2023-02-03,,,75.92
2023-02-05,107.7,76.65,
2023-02-06,,,75.92
2023-02-07,,,75.92
2023-02-08,,,75.92
2023-02-09,,,75.92
2023-02-10,,,75.92
2023-02-12,107.61,76.59,
2023-02-13,,,78.35
2023-02-14,,,78.35
2023-02-15,,,78.35
2023-02-16,,,78.35
2023-02-17,,,78.35
2023-02-19,107.9,76.93,
2023-02-20,,,78.35
2023-02-21,,,78.35
2023-02-22,,,78.35
2023-02-23,,,78.35
2023-02-24,,,78.35
2023-02-26,107.86,75.42,
2023-02-27,,,78.35
2023-02-28,,,78.35
2023-03-01,,,78.35
2023-03-02,,,76.54
2023-03-03,,,76.54
2023-03-05,106.1,74.2,
2023-03-06,,,77.89
2023-03-07,,,77.89
2023-03-08,,,77.89
2023-03-09,,,77.89
2023-03-10,,,77.89
2023-03-12,100.6,70.35,
2023-03-13,,,77.89
2023-03-14,,,77.66
2023-03-15,,,77.66
2023-03-16,,,75.24
2023-03-17,,,75.24
2023-03-19,102.55,71.71,
2023-03-20,,,75.24
2023-03-21,,,72.92
2023-03-22,,,72.92
2023-03-23,,,72.92
2023-03-24,,,72.92
2023-03-26,113.09,78.49,
2023-03-27,,,70.95
2023-03-28,,,70.95
2023-03-29,,,70.95
2023-03-30,,,70.95
2023-03-31,,,70.95
2023-04-02,115.01,79.05,
2023-04-03,,,70.95
2023-04-04,,,70.95
2023-04-06,,,66.63
2023-04-07,,,67.59
2023-04-09,115.99,79.71,
2023-04-10,,,71.33
2023-04-11,,,69.89
2023-04-12,,,69.89
2023-04-13,,,70.3
2023-04-14,,,70.3
2023-04-16,115.26,79.21,
2023-04-17,,,70.3
2023-04-18,,,70.3
2023-04-19,,,70.47
2023-04-20,,,70.47
2023-04-21,,,70.47
2023-04-23,116.46,78.38,70.47
2023-04-24,,,70.47
2023-04-25,,,70.47
2023-04-26,,,70.35
2023-04-27,,,70.35
2023-04-28,,,70.35
2023-04-30,118.76,79.7,
2023-05-04,,,71.36
2023-05-05,,,71.36
2023-05-06,,,71.36
2023-05-07,122.77,80.6,
2023-05-08,,,71.87
2023-05-09,,,72.63
2023-05-10,,,72.63
2023-05-11,,,72.63
2023-05-12,,,72.63
2023-05-14,120.29,77.94,
2023-05-15,,,72.63
2023-05-16,,,72.22
2023-05-17,,,71.73
2023-05-18,,,71.73
2023-05-19,,,71.73
2023-05-21,123.99,79.95,
2023-05-22,,,71.73
2023-05-23,,,71.73
2023-05-24,,,71.73
2023-05-25,,,71.73
2023-05-26,,,71.73
2023-05-28,115.11,74.22,
2023-05-29,,,73.86
2023-05-30,,,73.86
2023-05-31,,,73.86
2023-06-01,,,75.1
2023-06-02,,,75.1
2023-06-04,109.28,70.88,
2023-06-05,,,76.99
2023-06-06,,,76.99
2023-06-07,,,77.9
2023-06-08,,,77.19
2023-06-09,,,77.19
2023-06-11,118.75,76.52,
2023-06-12,,,78.61
2023-06-13,,,78.61
2023-06-14,,,74.27
2023-06-15,,,74.16
2023-06-16,,,74.16
2023-06-18,120.56,79.94,
2023-06-19,,,77.14
2023-06-20,,,76.35
2023-06-21,,,76.35
2023-06-25,105.72,79.91,77.06
2023-06-26,,,77.32
2023-06-27,,,76.31
2023-06-28,,,76.31
2023-06-29,,,76.31
2023-06-30,,,75.95
2023-07-02,125.22,81.12,
2023-07-03,,,74.37
2023-07-04,,,74.37
2023-07-05,,,74.37
2023-07-06,,,74.37
2023-07-07,,,74.37
2023-07-09,123.4,78.96,
2023-07-10,,,74.37
2023-07-11,,,75.03
2023-07-12,,,75.03
2023-07-13,,,75.03
2023-07-14,,,75.03
2023-07-16,118.49,75.73,
2023-07-17,,,79.23
2023-07-18,,,80.03
2023-07-19,,,80.03
2023-07-20,,,80.03
2023-07-21,,,80.03
2023-07-23,123.17,77.25,
2023-07-24,,,80.45
2023-07-25,,,80.45
2023-07-26,,,80.45
2023-07-27,,,80.45
2023-07-28,,,80.03
2023-07-30,130.39,80.81,
2023-07-31,,,80.03
2023-08-01,,,80.03
2023-08-02,,,82.1
2023-08-03,,,83.7
2023-08-04,,,83.7
2023-08-06,126.19,78.16,
2023-08-07,,,83.7
2023-08-08,,,83.46
2023-08-09,,,83.46
2023-08-10,,,82.04
2023-08-11,,,82.04
2023-08-13,126.6,78.41,
2023-08-14,,,82.04
2023-08-15,,,82.04
2023-08-16,,,82.04
2023-08-17,,,79.73
2023-08-18,,,79.73
2023-08-20,131.92,81.78,
2023-08-21,,,79.73
2023-08-22,,,79.73
2023-08-23,,,79.73
2023-08-24,,,80.67
2023-08-25,,,80.67
2023-08-27,129.79,80.43,
2023-08-28,,,80.67
2023-08-29,,,81.34
2023-08-30,,,81.34
2023-08-31,,,82.62
2023-09-01,,,82.62
2023-09-03,132.74,82.3,
2023-09-04,,,81.69
2023-09-05,,,81.69
2023-09-06,,,81.69
2023-09-07,,,81.23
2023-09-08,,,81.23
2023-09-10,131.32,80.53,
2023-09-11,,,79.65
2023-09-12,,,79.65
2023-09-13,,,77.37
2023-09-14,,,77.37
2023-09-15,,,75.88
2023-09-17,128.73,79.3,
2023-09-18,,,79.01
2023-09-19,,,79.01
2023-09-20,,,79.01
2023-09-21,,,79.01
2023-09-22,,,79.01
2023-09-24,136.28,83.7,
2023-09-25,,,79.01
2023-09-26,,,79.01
2023-09-27,,,81.3
2023-09-28,,,81.3
2023-10-01,131.29,80.73,
2023-10-07,,,81.3
2023-10-08,,,79.28
2023-10-09,,,79.28
2023-10-10,,,79.28
2023-10-11,,,79.28
2023-10-12,,,79.28
2023-10-13,,,79.28
2023-10-15,125.64,76.99,
2023-10-16,,,80.23
2023-10-17,,,80.23
2023-10-18,,,80.23
2023-10-19,,,80.23
2023-10-20,,,79.3
2023-10-22,123.42,75.61,
2023-10-23,,,79.3
2023-10-24,,,81.15
2023-10-25,,,81.15
2023-10-26,,,81.15
2023-10-27,,,81.15
2023-10-29,126.68,77.74,
2023-10-30,,,81.48
2023-10-31,,,81.48
2023-11-01,,,80.24
2023-11-02,,,80.8
2023-11-03,,,80.8
2023-11-05,125.83,77.23,
2023-11-06,,,80.8
2023-11-07,,,80.8
2023-11-08,,,82.38
2023-11-09,,,82.38
2023-11-10,,,82.38
2023-11-12,121.57,74.56,
2023-11-13,,,82.38
2023-11-14,,,82.38
2023-11-15,,,82.38
2023-11-16,,,82.38
2023-11-17,,,82.38
2023-11-19,119.57,73.31,
2023-11-20,,,85.96
2023-11-21,,,85.96
2023-11-22,,,85.96
2023-11-23,,,85.96
2023-11-24,,,83.72
2023-11-26,123.7,75.25,
2023-11-27,,,80.36
2023-11-28,,,80.36
2023-11-29,,,80.36
2023-11-30,,,83.72
2023-12-01,,,83.84
2023-12-03,127.57,77.09,
2023-12-04,,,83.84
2023-12-05,,,83.84
2023-12-06,,,85.36
2023-12-07,,,85.36
2023-12-08,,,84.71
2023-12-10,125.93,75.91,
2023-12-11,,,84.71
2023-12-12,,,84.31
2023-12-13,,,86.16
2023-12-14,,,86.45
2023-12-15,,,86.45
2023-12-17,135.3,81.89,
2023-12-18,,,86.45
2023-12-19,,,87.29
2023-12-20,,,87.29
2023-12-21,,,87.29
2023-12-22,,,86.51
2023-12-24,136.79,82.87,
2023-12-25,,,86.51
2023-12-26,,,86.51
2023-12-27,,,86.51
2023-12-28,,,80.58
2023-12-29,,,80.58
2023-12-31,134.37,80.76,
2024-01-02,,,80.58
2024-01-03,,,80.22
2024-01-04,,,80.22
2024-01-05,,,80.22
2024-01-07,136.19,82.9,
2024-01-08,,,86.15
2024-01-09,,,86.15
2024-01-10,,,86.15
2024-01-11,,,86.15
2024-01-12,,,86.15
2024-01-14,136.19,83.49,
2024-01-15,,,86.15
2024-01-16,,,86.15
2024-01-17,,,86.15
2024-01-18,,,86.17
2024-01-19,,,86.17
2024-01-21,135.89,83.3,
2024-01-22,,,86.17
2024-01-23,,,86.17
2024-01-24,,,86.17
2024-01-25,,,86.17
2024-01-26,,,86.17
2024-01-28,135.37,82.91,
2024-01-29,,,86.17
2024-01-30,,,86.17
2024-01-31,,,86.17
2024-02-01,,,86.1
2024-02-02,,,86.1
2024-02-04,133.16,82.06,86.1
2024-02-05,,,86.1
2024-02-06,,,86.1
2024-02-07,,,86.1
2024-02-08,,,86.1
2024-02-11,133.8,82.42,
2024-02-18,,,86.1
2024-02-19,,,86.1
2024-02-20,,,86.1
2024-02-21,,,86.1
2024-02-22,,,86.46
2024-02-23,,,86.46
2024-02-25,135.02,83.08,
2024-02-26,,,86.46
2024-02-27,,,86.46
2024-02-28,,,86.46
2024-02-29,,,86.46
2024-03-01,,,86.46
2024-03-03,134.52,82.78,
2024-03-04,,,86.46
2024-03-05,,,86.46
2024-03-06,,,87.13
2024-03-07,,,87.13
2024-03-08,,,87.13
2024-03-10,134.78,82.94,
2024-03-11,,,87.13
2024-03-12,,,87.13
2024-03-13,,,87.13
2024-03-14,,,87.13
2024-03-15,,,87.13
2024-03-17,134.12,82.56,
2024-03-18,,,87.13
2024-03-19,,,87.13
2024-03-20,,,87.13
2024-03-21,,,87.13
2024-03-22,,,87.13
2024-03-24,131.52,80.98,
2024-03-25,,,87.13
2024-03-26,,,87.13
2024-03-27,,,87.13
2024-03-28,,,87.37
2024-03-29,,,87.13
2024-03-31,124.93,76.92,
2024-04-01,,,83.71
2024-04-02,,,83.71
2024-04-03,,,83.71
2024-04-07,,77.75,83.71
2024-04-08,,,83.71
2024-04-09,,,83.71
2024-04-10,,,80.29
2024-04-11,,,80.29
2024-04-12,,,80.29
2024-04-14,121.41,72.86,
2024-04-15,,,76.19
2024-04-16,,,70.4
2024-04-17,,,70.4
2024-04-18,,,70.4
2024-04-19,,,70.4
2024-04-21,123.15,71.77,
2024-04-22,,,70.4
2024-04-23,,,70.4
2024-04-24,,,70.4
2024-04-25,,,76.02
2024-04-26,,,76.02
2024-04-28,130.04,75.68,76.02
2024-04-29,,,76.02
2024-05-03,,,80.71
2024-05-06,,,80.71
2024-05-07,,,80.71
2024-05-08,,,80.71
2024-05-09,,,79.76
2024-05-10,,,79.79
2024-05-12,125.67,73.23,
2024-05-13,,,79.79
2024-05-14,,,79.79
2024-05-15,,,79.79
2024-05-16,,,79.79
2024-05-17,,,79.79
2024-05-19,119.96,69.95,
2024-05-20,,,74.06
2024-05-21,,,74.06
2024-05-22,,,74.06
2024-05-23,,,74.06
2024-05-24,,,68.34
2024-05-26,123.87,72.06,
2024-05-27,,,73.05
2024-05-28,,,73.05
2024-05-29,,,73.05
2024-05-30,,,73.05
2024-05-31,,,73.05
2024-06-02,126.54,73.54,
2024-06-03,,,73.05
2024-06-04,,,73.05
2024-06-05,,,73.05
2024-06-06,,,78.73
2024-06-07,,,78.73
2024-06-09,130.21,75.66,
2024-06-11,,,81.19
2024-06-12,,,81.19
2024-06-13,,,81.19
2024-06-14,,,81.19
2024-06-16,134.33,78.09,
2024-06-17,,,83.02
2024-06-18,,,83.02
2024-06-19,,,83.02
2024-06-20,,,83.02
2024-06-21,,,83.02
2024-06-23,131.76,76.56,
2024-06-24,,,87.37
2024-06-25,,,85.37
2024-06-26,,,85.37
2024-06-27,,,85.37
2024-06-28,,,85.37
2024-06-30,131.43,76.52,
2024-07-01,,,85.37
2024-07-02,,,85.37
2024-07-03,,,87.8
2024-07-04,,,87.8
2024-07-05,,,87.8
2024-07-07,131.67,76.61,
2024-07-08,,,87.8
2024-07-09,,,88.85
2024-07-10,,,90.23
2024-07-11,,,90.23
2024-07-12,,,90.23
2024-07-14,135.94,79.04,
2024-07-15,,,89.71
2024-07-16,,,89.71
2024-07-17,,,89.71
2024-07-18,,,89.71
2024-07-19,,,89.71
2024-07-21,138.43,80.5,
2024-07-22,,,89.71
2024-07-23,,,89.71
2024-07-24,,,89.71
2024-07-25,,,89.71
2024-07-26,,,89.71
2024-07-28,140.56,81.73,
2024-07-29,,,86.9
2024-07-30,,,87.83
2024-07-31,,,87.83
2024-08-01,,,87.83
2024-08-02,,,87.83
2024-08-04,135.54,78.91,
2024-08-05,,,88.85
2024-08-06,,,88.85
2024-08-07,,,88.85
2024-08-08,,,89.95
2024-08-09,,,89.95
2024-08-11,134.63,78.36,
2024-08-12,,,89.95
2024-08-13,,,89.95
2024-08-14,,,90.15
2024-08-15,,,90.15
2024-08-16,,,90.15
2024-08-18,140.53,,
2024-08-19,,,90.15
2024-08-20,,,90.15
2024-08-21,,,90.15
2024-08-22,,,87.57
2024-08-23,,,87.57
2024-08-25,142.53,,
2024-08-26,,,87.57
2024-08-27,,,87.57
