,中国:二手房出售挂牌价指数,中国:二手房出售挂牌量指数,新房销售:全部样本城市:销售价格:当周值,新房销售:全部样本城市:销售面积:当周值
2023-03-26,,,15917.81,11.43
2023-03-27,187.27,53.52,,
2023-04-02,,,16551.81,12.14
2023-04-03,186.97,46.93,,
2023-04-09,,,15819.02,7.93
2023-04-10,186.84,46.14,,
2023-04-16,,,15896.67,8.27
2023-04-17,186.65,43.95,,
2023-04-23,,,16327.65,9.01
2023-04-24,186.41,42.07,,
2023-04-30,,,17642.03,8.89
2023-05-01,186.26,38.29,,
2023-05-07,,,17091.83,5.3
2023-05-08,186.04,43.59,,
2023-05-14,,,16624.64,7.52
2023-05-15,185.77,39.94,,
2023-05-21,,,16749.79,7.73
2023-05-22,185.58,38.08,,
2023-05-28,,,16848.11,7.72
2023-05-29,185.29,37.84,,
2023-06-04,,,17239.28,7.81
2023-06-05,184.99,39.03,,
2023-06-11,,,17137.3,6.67
2023-06-12,185.06,35.42,,
2023-06-18,,,16914.61,6.8
2023-06-19,185.02,31.81,,
2023-06-25,,,16870.56,6.66
2023-06-26,184.15,38.86,,
2023-07-02,,,17870.72,11.34
2023-07-03,184.37,33.04,,
2023-07-09,,,16612.62,5.36
2023-07-10,184.21,34.38,,
2023-07-16,,,15958.31,4.98
2023-07-17,184.1,34.93,,
2023-07-23,,,16211.47,5.29
2023-07-24,183.89,32.79,,
2023-07-30,,,16554.31,6.06
2023-07-31,183.6,34.72,,
2023-08-06,,,16321.13,4.12
2023-08-07,183.32,35.23,,
2023-08-13,,,16026.68,4.6
2023-08-14,183.26,34.75,,
2023-08-20,,,16390.45,5.52
2023-08-21,183.2,33.37,,
2023-08-27,,,16962.79,6.18
2023-08-28,182.75,39.37,,
2023-09-03,,,16926.56,5.62
2023-09-04,182.39,41.29,,
2023-09-10,,,16254.76,4.62
2023-09-11,182.25,43.32,,
2023-09-17,,,16713.21,5.08
2023-09-18,182.06,41.58,,
2023-09-24,,,16080.81,6.76
2023-09-25,181.69,35.76,,
2023-10-01,,,17085.85,7.84
2023-10-02,180.61,37.68,,
2023-10-08,,,16498.7,2.65
2023-10-09,180.24,42.22,,
2023-10-15,,,16317.58,6.68
2023-10-16,179.97,44.38,,
2023-10-22,,,17187.08,6.7
2023-10-23,179.68,39.08,,
2023-10-29,,,17215.38,7.41
2023-10-30,178.93,45.23,,
2023-11-05,,,16704.41,6.17
2023-11-06,178.29,44.07,,
2023-11-12,,,16685.01,5.41
2023-11-13,178.07,44.41,,
2023-11-19,,,16837.94,5.98
2023-11-20,177.95,44.43,,
2023-11-26,,,16527.49,6.14
2023-11-27,177.38,42.96,,
2023-12-03,,,17223.51,6.2
2023-12-04,176.53,45.68,,
2023-12-10,,,16302.14,5.99
2023-12-11,176.33,42.31,,
2023-12-17,,,16447.56,5.65
2023-12-18,176.17,36.69,,
2023-12-24,,,16767.84,7.63
2023-12-25,176.0,36.57,,
2023-12-31,,,17063.21,8.63
2024-01-01,175.02,38.6,,
2024-01-07,,,16462.53,4.01
2024-01-08,174.96,36.82,,
2024-01-14,,,16251.81,4.31
2024-01-15,174.9,35.66,,
2024-01-21,,,15877.54,4.26
2024-01-22,174.85,32.46,,
2024-01-28,,,16238.6,5.09
2024-01-29,174.4,27.53,,
2024-02-04,,,16689.85,4.83
2024-02-05,174.28,12.19,,
2024-02-11,,,16774.46,2.4
2024-02-12,174.14,21.99,,
2024-02-18,,,16042.84,0.92
2024-02-19,173.64,51.52,,
2024-02-25,,,15894.01,3.63
2024-02-26,173.04,56.9,,
2024-03-03,,,16316.33,5.13
2024-03-04,172.35,57.13,,
2024-03-10,,,15743.52,3.8
2024-03-11,172.2,54.6,,
2024-03-17,,,16167.63,4.91
2024-03-18,171.96,52.8,,
2024-03-24,,,17738.51,6.73
2024-03-25,171.76,49.07,,
2024-03-31,,,18831.25,9.34
2024-04-01,170.55,39.05,,
2024-04-07,,,17270.1,4.0
2024-04-08,170.47,42.42,,
2024-04-14,,,16616.25,5.4
2024-04-15,170.18,40.26,,
2024-04-21,,,15821.46,4.62
2024-04-22,169.92,39.74,,
2024-04-28,,,16729.97,5.82
2024-04-29,169.17,33.54,,
2024-05-05,,,16913.63,3.26
2024-05-06,168.57,41.74,,
2024-05-12,,,16409.88,5.44
2024-05-13,168.38,36.76,,
2024-05-19,,,16315.89,5.06
2024-05-20,168.3,43.47,,
2024-05-26,,,16240.63,6.56
2024-05-27,168.01,44.59,,
2024-06-02,,,16531.99,6.93
2024-06-03,166.94,45.27,,
2024-06-09,,,16064.62,4.87
2024-06-10,166.84,45.32,,
2024-06-16,,,16285.71,5.05
2024-06-17,166.64,44.11,,
2024-06-23,,,16221.56,6.22
2024-06-24,166.51,47.79,,
2024-06-30,,,17439.53,10.72
2024-07-01,165.44,49.88,,
2024-07-07,,,15881.15,4.96
2024-07-08,165.24,47.87,,
2024-07-14,,,15784.67,4.72
2024-07-15,165.06,47.52,,
2024-07-21,,,15564.8,4.62
2024-07-22,164.89,49.8,,
2024-07-28,,,15923.75,5.26
2024-07-29,164.26,48.23,,
2024-08-04,,,15881.28,4.83
2024-08-05,163.61,47.92,,
2024-08-12,163.51,48.02,,
2024-08-19,163.32,44.85,,
