指标名称,光伏行业综合价格指数(SPI):硅片,现货价(周平均价):多晶硅片(156mm×156mm)
2024-01-29,19.15,
2024-01-31,,0.137
2024-02-05,19.43,
2024-02-07,,0.137
2024-02-14,,0.137
2024-02-21,,0.137
2024-02-26,19.43,
2024-02-28,,0.137
2024-03-04,19.43,
2024-03-06,,0.137
2024-03-11,19.43,
2024-03-13,,0.134
2024-03-18,19.15,
2024-03-20,,0.131
2024-03-25,18.63,
2024-03-27,,0.119
2024-04-03,,0.113
2024-04-08,17.99,
2024-04-10,,0.112
2024-04-15,17.44,
2024-04-17,,0.111
2024-04-22,17.44,
2024-04-24,,0.11
2024-04-29,17.16,
2024-05-01,,0.107
2024-05-08,,0.105
2024-05-13,16.61,
2024-05-15,,0.095
2024-05-20,16.12,
2024-05-22,,0.086
2024-05-27,15.01,
2024-05-29,,0.084
2024-06-03,14.74,
2024-06-05,,0.083
2024-06-11,14.74,
2024-06-12,,0.083
2024-06-17,14.74,
2024-06-19,,0.083
2024-06-25,14.74,
2024-06-26,,0.083
2024-07-01,14.74,
2024-07-03,,0.083
2024-07-09,14.74,
2024-07-10,,0.083
2024-07-15,14.74,
2024-07-17,,0.083
2024-07-22,14.74,
2024-07-24,,0.083
2024-07-29,14.74,
2024-07-31,,0.083
2024-08-05,14.74,
2024-08-07,,0.084
2024-08-12,14.74,
2024-08-14,,0.084
2024-08-19,14.74,
2024-08-21,,0.084
2024-08-26,14.74,
2024-08-28,,0.084
2024-09-02,14.74,
