指标名称,光伏行业综合价格指数(SPI):硅片,现货价(周平均价):多晶硅片(156mm×156mm)
2015-08-07,87.79,
2015-08-12,,0.808
2015-08-14,87.79,
2015-08-19,,0.807
2015-08-21,87.79,
2015-08-26,,0.809
2015-08-28,87.79,
2015-09-02,,0.812
2015-09-09,,0.815
2015-09-11,87.79,
2015-09-16,,0.817
2015-09-18,87.79,
2015-09-23,,0.819
2015-09-25,87.97,
2015-09-30,,0.823
2015-10-02,87.97,
2015-10-07,,0.824
2015-10-09,87.97,
2015-10-14,,0.825
2015-10-16,87.97,
2015-10-21,,0.827
2015-10-23,87.97,
2015-10-28,,0.828
2015-10-30,87.97,
2015-11-04,,0.832
2015-11-06,88.21,
2015-11-11,,0.834
2015-11-13,88.8,
2015-11-18,,0.836
2015-11-20,88.8,
2015-11-25,,0.84
2015-11-27,86.87,
2015-12-02,,0.843
2015-12-04,87.48,
2015-12-09,,0.845
2015-12-11,87.48,
2015-12-16,,0.847
2015-12-18,87.48,
2015-12-23,,0.855
2015-12-25,88.2,
2015-12-30,,0.86
2016-01-06,,0.866
2016-01-08,88.2,
2016-01-13,,0.87
2016-01-15,88.2,
2016-01-20,,0.873
2016-01-22,88.2,
2016-01-27,,0.873
2016-01-29,88.2,
2016-02-03,,0.873
2016-02-10,,0.873
2016-02-17,,0.871
2016-02-19,88.2,
2016-02-24,,0.87
2016-02-26,90.44,
2016-03-02,,0.868
2016-03-04,90.44,
2016-03-09,,0.867
2016-03-11,90.44,
2016-03-16,,0.866
2016-03-18,90.97,
2016-03-23,,0.862
2016-03-25,91.2,
2016-03-30,,0.858
2016-04-01,90.86,
2016-04-06,,0.857
2016-04-08,90.69,
2016-04-13,,0.855
2016-04-15,90.69,
2016-04-20,,0.853
2016-04-22,90.67,
2016-04-27,,0.851
2016-04-29,90.67,
2016-05-04,,0.849
2016-05-06,90.53,
2016-05-11,,0.847
2016-05-13,90.53,
2016-05-18,,0.845
2016-05-20,90.53,
2016-05-25,,0.843
2016-05-27,90.44,
2016-06-01,,0.835
2016-06-03,89.52,
2016-06-07,,
2016-06-08,89.52,0.828
2016-06-15,,0.82
2016-06-17,89.22,
2016-06-22,,0.805
2016-06-24,88.36,
2016-06-29,,0.79
2016-07-01,86.46,
2016-07-06,,0.774
2016-07-08,86.23,
2016-07-13,,0.755
2016-07-15,82.58,
2016-07-20,,0.74
2016-07-22,82.23,
2016-07-27,,0.725
2016-07-29,81.03,
2016-08-03,,0.714
2016-08-05,79.18,
2016-08-10,,0.7
2016-08-12,77.85,
2016-08-17,,0.679
2016-08-19,74.76,
2016-08-24,,0.64
2016-08-26,71.07,
2016-08-31,,0.599
2016-09-02,65.17,
2016-09-07,,0.563
2016-09-09,62.3,
2016-09-14,,0.535
2016-09-18,60.68,
2016-09-21,,0.51
2016-09-23,59.35,
2016-09-28,,0.51
2016-09-30,59.35,
2016-10-05,,0.515
2016-10-09,61.22,
2016-10-12,,0.545
2016-10-14,65.38,
2016-10-19,,0.578
2016-10-21,67.17,
2016-10-26,,0.614
2016-10-28,73.0,
2016-11-02,,0.639
2016-11-04,75.22,
2016-11-09,,0.663
2016-11-11,76.29,
2016-11-16,,0.662
2016-11-18,77.27,
2016-11-23,,0.659
2016-11-25,75.77,
2016-11-30,,0.65
2016-12-02,74.73,
2016-12-07,,0.642
2016-12-09,74.79,
2016-12-14,,0.634
2016-12-16,74.85,
2016-12-21,,0.627
2016-12-23,74.91,
2016-12-28,,0.623
2016-12-30,74.91,
2017-01-04,,0.621
2017-01-06,75.11,
2017-01-11,,0.62
2017-01-13,75.45,
2017-01-18,,0.62
2017-01-20,75.45,
2017-01-25,,0.62
2017-02-01,,0.62
2017-02-06,76.31,
2017-02-08,,0.62
2017-02-10,76.61,
2017-02-15,,0.62
2017-02-17,76.61,
2017-02-22,,0.62
2017-02-24,76.61,
2017-03-01,,0.614
2017-03-03,75.34,
2017-03-08,,0.607
2017-03-10,75.06,
2017-03-15,,0.594
2017-03-17,72.91,
2017-03-22,,0.58
2017-03-24,71.53,
2017-03-29,,0.565
2017-03-31,69.68,
2017-04-05,,0.555
2017-04-07,68.82,
2017-04-11,,
2017-04-12,,0.545
2017-04-14,67.83,
2017-04-19,,0.542
2017-04-21,68.06,
2017-04-26,,0.549
2017-04-28,69.22,
2017-05-03,,0.561
2017-05-05,69.22,
2017-05-10,,0.561
2017-05-12,69.45,
2017-05-17,,0.561
2017-05-19,71.53,
2017-05-24,,0.58
2017-05-26,72.22,
2017-05-31,,0.597
2017-06-02,72.91,
2017-06-07,,0.605
2017-06-09,73.31,
2017-06-14,,0.605
2017-06-16,73.26,
2017-06-21,,0.605
2017-06-23,73.26,
2017-06-28,,0.608
2017-06-30,73.95,
2017-07-05,,0.608
2017-07-07,74.04,
2017-07-12,,0.608
2017-07-14,74.04,
2017-07-19,,0.608
2017-07-21,73.69,
2017-07-26,,0.628
2017-07-28,74.27,
2017-08-02,,0.64
2017-08-04,74.85,
2017-08-09,,0.647
2017-08-11,75.77,
2017-08-16,,0.647
2017-08-18,75.77,
2017-08-23,,0.647
2017-08-25,76.7,
2017-08-30,,0.654
2017-09-01,77.36,
2017-09-06,,0.659
2017-09-08,77.36,
2017-09-13,,0.657
2017-09-15,77.36,
2017-09-20,,0.65
2017-09-22,76.28,
2017-09-26,76.28,
2017-09-27,,0.645
2017-09-29,76.2,
2017-10-04,,0.64
2017-10-10,76.2,
2017-10-11,,0.639
2017-10-13,76.2,
2017-10-18,76.2,0.634
2017-10-20,76.03,
2017-10-24,73.79,
2017-10-25,,0.631
2017-10-27,73.79,
2017-10-31,73.79,
2017-11-01,,0.629
2017-11-02,73.79,
2017-11-07,73.79,
2017-11-08,,0.627
2017-11-10,73.79,
2017-11-14,73.79,
2017-11-15,,0.626
2017-11-17,73.79,
2017-11-21,73.79,
2017-11-22,,0.625
2017-11-24,73.79,
2017-11-29,73.79,0.624
2017-12-01,73.79,
2017-12-05,73.79,
2017-12-06,,0.623
2017-12-08,73.79,
2017-12-12,73.79,
2017-12-13,,0.621
2017-12-15,73.13,
2017-12-19,73.13,
2017-12-20,,0.62
2017-12-22,72.91,
2017-12-26,68.09,
2017-12-27,,0.618
2017-12-29,68.09,
2018-01-02,68.04,
2018-01-03,,0.617
2018-01-05,67.54,
2018-01-09,67.54,
2018-01-10,,0.615
2018-01-12,67.46,
2018-01-16,67.32,
2018-01-17,,0.608
2018-01-19,67.08,
2018-01-23,65.47,
2018-01-24,,0.598
2018-01-26,63.54,
2018-01-30,62.05,
2018-01-31,,0.557
2018-02-01,61.31,
2018-02-06,59.21,
2018-02-07,,0.536
2018-02-09,59.21,
2018-02-14,,0.534
2018-02-21,,0.532
2018-02-24,57.14,
2018-02-27,57.14,
2018-02-28,,0.526
2018-03-02,56.73,
2018-03-06,56.32,
2018-03-07,,0.523
2018-03-09,55.9,
2018-03-13,55.79,
2018-03-14,,0.48
2018-03-16,55.63,
2018-03-20,55.71,
2018-03-21,,0.505
2018-03-23,55.68,
2018-03-27,55.68,
2018-03-28,,0.504
2018-03-30,55.68,
2018-04-03,55.66,
2018-04-04,,0.503
2018-04-08,55.66,
2018-04-10,55.66,
2018-04-11,,0.5
2018-04-13,55.43,
2018-04-17,55.43,
2018-04-18,,0.499
2018-04-20,55.28,
2018-04-24,55.35,
2018-04-25,,0.493
2018-04-27,54.52,
2018-05-02,,0.488
2018-05-04,53.61,
2018-05-08,52.45,
2018-05-09,,0.468
2018-05-11,52.45,
2018-05-15,52.04,
2018-05-16,,0.46
2018-05-18,51.46,
2018-05-22,51.46,
2018-05-23,,0.445
2018-05-25,49.53,
